,Unnamed: 0,id,title,vendor,category,prod_type,publish,price (MYR),compare_at_price (MYR),weight (grams),available,sku,rating,review_count,questions,review
0,0,7.7746E+12,Lucas LSLA4-6 SLA Battery 6V 4Ah,Lucas,Car Batteries,Battery,2022-07-15T08:11:29+01:00,25,25,750,TRUE,LUCAS49,5,1736,6,"['Fitted this to Peugeot 207 1.6 Diesel FN11 yxa, fits well!', 'Seems to be working well, will see how it fairs over the coming years.', 'Great value for money!', 'Excellent service and good value for money.', 'Perfect - does the job.', 'Battery fitted easily and is working well', 'Far more cranking power than the originals that were in the cars.', 'Next day delivery with reliable courier giving delivery details.', 'Goods came quickly and exactly as described.', 'Arrived on time and fitted the car perfectly and works well.', 'Very pleased with your delivery, packaging and the price. Thanks would definitely use you again and also recommend you to others', 'Very pleased. Good price and quick delivery.', 'I brought 2 of them at an extremely good price. The whole experience was a pleasure!\r\nGoods arrived quickly and well packaged.\r\nIt was a pleasure to buy from the company.\r\nWould happily do it again.', 'Very good battery and good quality', 'A first class battery I used it in a large hand torch', ""Excellent value for money. While I'm sure I could obtain a similar item for less money, the ease of purchasing and having it delivered at the price they ask is unbeatable."", 'Rank this type of battery highly.', 'Service was good ,quick delivery.', 'What a easy way to transform your car! Highly recommend and represent good value for money compared with alternative options.', 'Top quality service from ML performance, as always.', ""Can't complain at all. Product arrived swiftly, perfect condition. Would order from ML performance again."", 'Really recommend ML Performance. It takes 5 days to deliver that order to New Zealand.', 'Having ordered from yourself son many occasions, all of which have been a success, however on this occasion I shipped this product to my son in Basildon as a belated Xmas present a few weeks ago, which still has not been delivered by Fedex. They have apparently been several times but left no calling card to say they have been. My son has waited in on a Saturday al day but yet still no delivery. Azren at ML is trying to sort for me who is always helpful, so fingers crossed can be resolved this Saturday morning.', 'Quick Delivery From ML As Always', 'Great Service from ML performance they keep you updated throughout . Great company and great product', 'Great information on getting the right Battery, unlike amazon who sent the wrong battery the said it was not returnable.', 'Delivery was very fast. Always a reliable, efficient and professional service from all at ML Performance! Many thanks!', 'Very Good', 'Outstanding support from ML Performance.', 'Excellent product and great delivery service by mlperformance easy to install and very good quality a must have.']"
1,1,7.7746E+12,Lucas LSLA20-12 SLA Battery 12V 20Ah,Lucas,Car Batteries,Battery,2022-07-15T08:11:25+01:00,176,165,7000,TRUE,LUCAS47,5,1844,4,"['Well packed and delivered on time.', 'Arrived on time as promised, happy customer I am!', 'ML team is efficient in solving issues all the time', ""I've been with ML for years and i can't recommend them enough"", 'Really easy to match up with the original one.', ""This is the 5th battery i've purchased from ML, never had an issue"", 'Next day delivery and it was delivered on time and in perfect condition', 'WELL PACKAGED, NEXT DAY DELIVERY - ALL WAS VERY SMOOTH', 'Was an exact battery for my car', 'Tidy little battery..performs well', 'Perfect for my lawnmower.', 'All Good, nothing Negative from selection of battery to prompt delivery.', 'Still one of the best brands', 'German quality! Highly recommend!', 'This is an excellent product, I very highly recommend to anyone in need of a replacement battery.', 'Fast delivery to New Zealand. Installation takes 10 seconds with a special trick. Google it on youtube ""easy start stop instal for BMW F series with double sided tape""', 'Really decent quality product.', 'Excellent customer service. Quick responses to queries. Highly recommended. Top banana', 'Very good competitive price', 'Top quality service from ML performance, as always.', ""Can't complain at all. Product arrived swiftly, perfect condition. Would order from ML performance again."", 'Really recommend ML Performance. It takes 5 days to deliver that order to New Zealand.', 'Having ordered from yourself son many occasions, all of which have been a success, however on this occasion I shipped this product to my son in Basildon as a belated Xmas present a few weeks ago, which still has not been delivered by Fedex. They have apparently been several times but left no calling card to say they have been. My son has waited in on a Saturday al day but yet still no delivery. Azren at ML is trying to sort for me who is always helpful, so fingers crossed can be resolved this Saturday morning.', 'Quick Delivery From ML As Always', 'Great Service from ML performance they keep you updated throughout . Great company and great product', 'Great information on getting the right Battery, unlike amazon who sent the wrong battery the said it was not returnable.', 'My mechanic introduced me to this battery and I immediately noticed a significant reduction of noise and knock from my V8.', 'Delivery was very fast. Always a reliable, efficient and professional service from all at ML Performance! Many thanks!', 'Ordering was easy', 'Hi item very good , the front camera hole was a little bit tight in the centre of the two grills , apart from that excellent']"
2,2,7.77042E+12,Exide AGM EK131 Auxiliary Battery,Exide,Car Batteries,Battery,2022-07-12T02:44:57+01:00,219,220,5000,TRUE,444779370,4.997803807,1366,7,"['My package got a problem from DHL and I contact the ML performance team. They resolve extremely fast and im so thankful. The product is greatly built. Thanks', 'As usual, fast shipping from ML performance! Thanks', 'Not my first time buying from ML Performance and they never diappoint.', 'I have always buy my parts from ML Performance and they never failed me this time too.', 'The quick and responsive customer support at mlp has provided me with excellent assistance and solutions.', ""I ordered this item during the COVID-19 pandemic (still on-going) and expected a large delay. There was never a period of uncertainty. Communication is second to none and the 'working from home' policy is a different level as I even received an e-mail at 2330 at night MLPerformance is a fantastic company and I will not hesitate to use them again. You even get a personal message from them in the package, a nice touch. I wish them all the success and support possible during these testing times. Phenomenal."", 'This was a very last minute order (3pm) but Sam managed to get it out to me for next day delivery. ML Performance have out done themselves again!', ""First time customer of ML Performance but will definitely use again. Ordered early afternoon I required the next day and it was with me the next morning. I received emails with updates on my order. Couldn't be happier. Thank you ML Performance."", 'Great exhaust, and the team at ml performance were really helpful checking to make sure the product was the correct one for my car! Thanks', 'Thanks to ml performance for keeping me informed, when being delivered.', ""I've recommended MLP's car parts to friends and family, and they have all been satisfied with the quality and performance."", 'Outstanding support from ML Performance.', 'Was apprehensive at first about using an online site for parts as I usually go to approved garage.\r\nI am 100% happy with the purchase and would definitely use ML again.\r\nThanks Marshall', 'Fitted this to my car! fits well!', 'Seems to be working well, will see how it fairs over the coming years.', 'Great value for money!', 'Excellent service and good value for money.', 'Perfect - does the job.', 'Battery fitted easily and is working well', 'Far more cranking power than the originals that were in the cars.', 'The customer support team at ML Performance is knowledgeable and responsive. They provided me with valuable assistance and recommendations.', 'Next day delivery with reliable courier giving delivery details.', 'Goods came quickly and exactly as described.', 'Arrived on time and fitted the car perfectly and works well.', 'Very pleased with your delivery, packaging and the price. Thanks would definitely use you again and also recommend you to others', 'Very pleased. Good price and quick delivery.', 'I recently made a purchase through ML performance.. they answered all my questions and gave great advice. The delivery of the items was very swift and accompanied with a thank you and a small token gift.. lovely to receive such great customer service', 'Really good price, propper parts & really fast delivery. Another superb buy from ML Performace. Thanks!!', 'The battery has been great, easy to install', 'Excellent battery, my previous one also bought from ML lasted over 5 years.']"
3,3,8.00785E+12,Xtreme Racing Series XR-600 AGM Battery 26Ah 600A,XTREME,Car Batteries,Battery,2023-02-13T04:49:43+00:00,264,299,4700,TRUE,XTREME-XR600,4.822429907,321,0,"['Really impressed with the quality of this product and the great service by the MLP team!', ""MLP's car parts have improved the safety features of my vehicle. I feel more confident on the road with their products."", ""I've been using ML Performance's car parts for regular maintenance, and they have consistently delivered reliable and high-quality products."", ""ML Performance's car parts have improved my vehicle's fuel economy. I'm pleasantly surprised by the savings at the pump."", 'Quality and fitment is amazing, really impress with these, and MLP is a pleasure to deal with as usual.\r\nWill be back for my next mod!', 'Having ordered from yourself son many occasions, all of which have been a success, however on this occasion I shipped this product to my son in Basildon as a belated Xmas present a few weeks ago, which still has not been delivered by Fedex. They have apparently been several times but left no calling card to say they have been. My son has waited in on a Saturday al day but yet still no delivery. Azren at ML is trying to sort for me who is always helpful, so fingers crossed can be resolved this Saturday morning.', 'After purchasing a few items from ML performance I returned one item as it didnt match up.\r\nStress free return process which makes future dealings a no brainer. \r\nExcellent company with great products, I would recommend them highly.', 'Fast delivery. Ordered twice from elsewhere and had order refund. No problems at all with ML Performance. Highly recommend', ""mlp's car parts have enhanced the safety features of my vehicle, providing me with peace of mind on the road."", 'Thanks to ml performance for keeping me informed, when being delivered.', 'Great item. Looks great in the car. Thanks MLP....', 'The team at ML Performance did a brilliant job at delivring this item to me one time. Good work!', 'After purchasing a few items from ML performance I returned one item as it didnt match up.\r\nStress free return process which makes future dealings a no brainer. \r\nExcellent company with great products, I would recommend them highly.', 'Again great service from ML Performance. Arrived super fast to New Zealand. Awesome =))', 'ML Performance contacted me to make sure that they would fit for my car. Great service. Would definitely order from them again.', ""The efficient cooling system provided by mlp's car parts has helped maintain optimal engine temperature, ensuring smooth performance."", 'Have been using ML for a long time and the website has improved so much', 'Super fast delivery,easy to order. would deffo order from ML Performance again.', 'Could really tell this is a top quality part\r\nGreat service again from Marshall', ""mlp's car parts have improved the overall performance of my vehicle's exhaust system. It sounds and performs better than ever."", 'My experience with ml performance has always been good that? one of the reasons I will always buy from them, an I will always recommend them to friend and family.', 'Worth every penny and pound. Oh I love it. All came professionally boxed and well wrapped, received in perfect condition and easy to fit. Very happy', ""ML Performance's car parts have a wide range of options to cater to different vehicle models. It's a one-stop shop for all car part needs."", ""I've tried several brands, but ML Performance's car parts stand out for their exceptional quality and long-lasting performance."", 'Super fast delivery,easy to order. would deffo order from ML Performance again.', 'Another amazing buy from MLPerformance! Marshall arranged for this to be settled for me at a reasonable cost and at a time that worked best for me.', 'The user-friendly website of ML Performance makes it easy to find the right car parts and place orders with confidence.', 'This is my third purchase from ML performance,and every time service and correspondence was first class, and again delivery was fast with a nice little note of thanks in with my purchase. Highly recommended ML performance.', 'Great quality product, good price from ML and quick delivery', 'Really recommend ML Performance. It takes 5 days to deliver that order to New Zealand.']"
4,4,8.02623E+12,Varta H16 Trailer battery - Black Promotive Commercial Battery 12V 105Ah,Varta,Car Batteries,Battery,2025-02-04T06:09:46+00:00,588,588,24400,TRUE,Varta-H16,0,0,0,[]
5,5,7.77041E+12,Bosch AGM 115 Car Battery - 5 Year Guarantee S5A11,Bosch,Car Batteries,Battery,2022-07-12T02:40:10+01:00,771,771,23000,TRUE,444779038,5,1119,1,"['Perfect battery, works well. No issues', 'Excellent service exactly what I ordered delivered very quickly', 'A rapid efficient service at an extremely competitive price.', 'Great service, item arrived on time and as described', 'Good quality battery at a reasonable price and delivered on time the following day', 'Speedy service and delivery', 'Excellent price and delivery, very well packaged', '100% all five stars thanks for another quality battery.', 'The clock on my car started resetting and battery symbol started coming up, was time to bite the bullet and got a new battery. Got it from ML and will still do in the future', 'quick and easy to respond and very helpful', 'Rank this type of battery highly.', ""Excellent value for money. While I'm sure I could obtain a similar item for less money, the ease of purchasing and having it delivered at the price they ask is unbeatable."", 'Service was good ,quick delivery.', 'What a easy way to transform your car! Highly recommend and represent good value for money compared with alternative options.', 'Excellent customer service. Quick responses to queries. Highly recommended. Top banana', 'I purchased 6 battery for my m135i the service was very quick and at a price cheapest on net. Would highly recommend this site.', 'Very Good', 'All good.', 'Hi item very good , the front camera hole was a little bit tight in the centre of the two grills , apart from that excellent', 'These are very nice engine mounts to use on a street car, the engine has less movement and there is hardly an increase of vibration in the cabin. I could see these being a pain to install but luckily I was dropping the subframe so it was a lot easier.', 'They do their job as stated in the description', 'great product battery temp now stable @105 degs', 'Genuine parts at super cheap prices, what else can one ask for?', 'Good value for money, arrived quickly', 'Really happy.', 'Found this website on the forums, what a gem! Have so many products and prices are so competitive.', 'It performs as promised and was delivered quickly.', 'Excellent fit as oem part also improves the rear no end in looks \r\nExcellent service from ML performance as usual ðŸ‘\x8d\ud83cðŸ‘\x8d\ud83c', 'Item was a perfect fit but just was no my cause of boost loss but 10 out of 10 for you guys!!', 'great price great delivery time']"
6,6,7.77041E+12,Varta AGM 115 Car Battery - 3 Year Guarantee F21 A6,Varta,Car Batteries,Battery,2024-08-22T04:24:42+01:00,735,735,21000,TRUE,444779034,5,156,1,"['Excellent battery and service.', 'You just cannot beat the service and prices from this company - always helpful, and if you have a question that needs a phone call, they will get back to you!', ""Good strong battery with guarantee, you can't go wrong with varta!!"", 'Product fits well and quality is impressive.', 'First I would like to congratulate Ml on there customer service, I know that as a company you wish to please they customers but the care and attention they gave me was second to none so cheers for that. All in all a really good company to deal with and what there sell is of extremely good quality Keep up the good work I will definitely be back to purchase more', 'The Staff were extremely friendly, so it made these nervy experience much more calming. Thank you MLP.', 'Great product thank u mlperformance!!!', 'We all know how important it is to build a good customer base. The secret to success is to remain competitive and offer great service. ML Performance achieve both of those goals. I asked questions about my purchase before hitting buy. I had a reply quickly and great guidance. The email not only gave me the answer I needed but a link to the right product. Saving me time and confusion. The item arrived as described and was well packaged. I cannot wait to pop the part on my car. Great job ML. I will be coming back soon.', 'As usual, a very good personal service from Marshall and his team. Again, thank you for the great service, Marshall and the team. Highly recommended and I for sure will be throwing more moneyt towards ML Performance in the future!', 'Thanks once again for sourcing a great product at a good price. ThanksMLP!', 'Great service from ML and the team.', 'Recieved item next day service is top like always very trutworthy always use ml performance. very happy highly recommend', 'I emailed ML Performance with some pics of the damage and they were not only quick to respond but addressed the issue without hassles. I will definitely buy again from them.', 'genuine part and fast delivery cant fault ML', 'I am a grumpy man at the best of times, leaving a good review doesnt happen often. But ML performance really do care. Thank you.', 'I emailed with a few questions before I purchased and they couldnt have been any more helpful. Products were sent out next day delivery and came very well packaged. Definitely be using ML again soon. Thanks Team', 'Communication was always replied to and I was kept informed fully, definitely will use ml performance again thankyou', 'Really good experience using ML performance, second time using them and would highly recommend.', 'Thanks ML Performance!! Your service is never a let down!! Keep up the good work!!', 'The arrived very fast than I had issues with the local custom , and ML performance assisted me with everything I needed to clear it Great service great product', 'Yet again ML Performance delivered. Thank you Marshall Lee and team.', 'ALL OK. GOOD QUALITY HAS WE WOULD ESPECT FROM ML PERFORMANCE', 'Excellent service and very fast i will buy all parts from ml performance', 'Wow, great service great speed on delivery and awesome price. I am in South Africa and had the product in my hands within 3 days. well done ML Performnace', 'Thank you Ml Performance ! You are the best !', 'With MLPs usual high level of service, there no better place to buy it.', '5 stars both to ML', 'Great product very simple to use. ML performance are a reliable and actually customer focused company, which is a refreshing change from the norm. Thank you.', 'The only company in the uk selling everything you need. Super fast service. Spoke to the guys at the shop and he helped me out straight away. Quality of products is exceptional and care is definitely taken to ensure you get everything you need. Recommend ML 100%', 'Ordered it, turned up the next day. Fantastic. MLP are great.']"
7,7,7.77042E+12,Exide AGM EK151 Auxiliary Battery (15Ah) - 1 Year Guarantee,Exide,Car Batteries,Battery,2022-07-12T02:45:23+01:00,248,242,5000,TRUE,444779310,4.995467422,1765,0,"['Great service from ml.', ""ML Performance's car parts have a sleek and modern design that adds a touch of style to my vehicle. It's functionality with flair."", 'Arrived on the next day after ordering thanks ML', 'Very pleased with my purchase, worth every penny. Great customer service from ML Performance.', 'ML guys are great!\r\nMy order was prepared on the same day of the order and I received the piece on the expected time. \r\nThe customer service is great and they replay to you immediately with the best of manners. \r\nOverall experience: will order parts again!', ""mlp's car parts have simplified the repair process for my vehicle. They offer reliable solutions that save time and effort."", ""The enhanced performance of my vehicle after installing ML Performance's car parts has impressed me. It's a game-changer."", ""ML Performance's car parts are competitively priced without compromising on quality. They offer great value for money."", ""Works perfectly.\r\nI couldn't be happier.\r\nThank you ML performance"", 'Was sent next day fantastic service received from all at ML Performance.Thanks Neil.', ""I appreciate the attention to detail in mlp's packaging. The car parts arrived in excellent condition, ready for installation."", ""ML Performance's car parts are designed with precision and attention to detail, ensuring compatibility and optimal performance."", 'Excellent customer service from ML', 'From the moment I contacted ML Performance my equireies were dealt with promptly and effeciently. The product arrived well packed via the DHL service and in suer quick time. I would highly recommend ML Performance for any parts.', 'ML were quick to dispatch, great bit of product', 'fantastic service from ML Performance communication from every step. Item is of great quality, very well made', ""MLPerformace customer service we're very helpful and kept me updated as to when I would receive my parcel, excellent service as always."", 'Have bought this multiple times with ML', 'Marshall and the whole ML performance team are fantastic they always go out of their way for customer satisfaction', 'Well packed and delivered on time.', 'Arrived on time as promised, happy customer I am!', 'ML team is efficient in solving issues all the time', ""I've been with ML for years and i can't recommend them enough"", 'Really easy to match up with the original one.', ""This is the 5th battery i've purchased from ML, never had an issue"", 'Next day delivery and it was delivered on time and in perfect condition', 'As always, ML Performance provided great service and quick shipping.', 'WELL PACKAGED, NEXT DAY DELIVERY - ALL WAS VERY SMOOTH', ""Great service from ML Performance. This was my first purchase as I've only just bought the car. Definitely recommend it."", 'Excellent service again from the guys at ML performance mor ethan happy']"
8,8,7.7746E+12,Lucas 896 Lawnmower Battery 12V 30Ah LP896,Lucas,Car Batteries,Battery,2022-07-15T08:11:15+01:00,189,189,10100,TRUE,LUCAS43,0,0,1,[]
9,9,7.76546E+12,Yuasa YB4L-B 12v Motorbike & Motorcycle Battery,YUASA,Car Batteries,Battery,2022-07-07T04:24:47+01:00,65,64,2000,TRUE,YB4L-B,5,260,2,"['Great speedy service and excellent packaging on this battery.', ""I cannot comment on the battery as its new but as its YUASA I'm hoping/assuming its up to their usual high standards."", 'Well known brand,never had any issues', 'I definitely recommend buying this. And a Big Thanks to MlPerformance for the Great Service!!!', 'Fantastic communication and top quality product.... Dontt hesitate!!', 'Fast shipping from ML as usual!', 'Delivery is fast and parts are exactly as described. Service and shipment from ML performance as 5 star as ever!', 'ML delivered this so quick.', 'Deffinatley glad i bought this great communication from the guys at ml performance every time i make a purchase.', 'First time ordering with ML and no complains at all. Placed order and received an email from a staff assuring me order was received within minutes. Received the item next day.', 'Arrived on the next day after ordering thanks ML', 'Thanks to MLPerformance for quick delivery.', '5 STARS for MLP', 'Amazing experience. Tks ML performance!', 'The service received from ML Performance was fantastic, excellent price and I was kept upto date with the progress of my order at all times. It arrived within the time scale and the whole process was easy and all the staff were easy to deal with and extremely helpful and knowledgeable. Wont hesitate to purchase from ML Performance again.', 'Many thanks Marshall and the MLP team...', 'Again great service from ML Performance. Arrived super fast to New Zealand. Awesome =))', 'Awesome experience. Fast respond and fast delivery even though I located in Malaysia. Nice gift cards from Nicholas and I would definitely repurchase any product from ML Performance in future. Cheers.', 'The item(s) are new, were competitively priced and arrived promptly; enabling me to get the work done. The team at ML Performance offer great value on genuine parts, and stock an attractive range of aftermarket/upgrade options too. Ill definitely be purchasing from this company again!', 'Poor instructions/manual on the part of the manufacturer which ML went out of their way to get sorted', 'Amazing product and cannot fault ML Performance, delivery was fast (next day) and Marshall is a pleasure to deal with. Canâ€™t fault this company and keep up the great work, customer for life A+++++', ""As usual, great item and service from Mlp... can't fault them...."", ""The guys at ML Performance always provide quality parts. Always there to help and advise where they can. Marshall is always there if and when there is an issue and always does his best as does his team to help if an issue arose. Couldn't thank these people enough!!"", 'I HIGHLY recommend this and ML', 'Having ordered from yourself son many occasions, all of which have been a success, however on this occasion I shipped this product to my son in Basildon as a belated Xmas present a few weeks ago, which still has not been delivered by Fedex. They have apparently been several times but left no calling card to say they have been. My son has waited in on a Saturday al day but yet still no delivery. Azren at ML is trying to sort for me who is always helpful, so fingers crossed can be resolved this Saturday morning.', 'Delivery was fast as always from ML', 'I would order again from ML Performance.', 'Jonathan was very helpful with my queries. I do recommend you buy from ML Performance!', 'Customer service was great. They were very patient answering all my questions and helped to verify that the product fits my car model. Shipping was fast. This is definitely my go-to place for my next shopping. Thank you MLP!', 'In addition to the professionalism of the ML Performance team, they also provide the best competitive prices.']"
