,Unnamed: 0,id,title,vendor,category,prod_type,publish,price (MYR),compare_at_price (MYR),weight (grams),available,sku,review
0,0,7.87E+12,MHD Universal WiFi OBDII Flash Adapter,MHD,Tuning Remap,Tuning Box Accessories,2022-09-23T05:02:43+01:00,388,388,100,TRUE,MHD03,"['Easy to use', 'Very fast, good connection ', 'Very fast', 'Original part , High Performance.', 'Happy with the product works well', 'Product is mega does everything I need it to just took longer than expected delivery so had to rebook jobs in later', 'Works like is says on the tin, very quick for reflash tune', 'Arrived ""damaged"", seems to work as intended, contacted ML Performance re shipping damaged; no reply..\r\nUpdate: ML Performance have been in touch to confirm everything is okay, and apologised for their slow response', 'Great product for coding BMW G20', 'Very happy with how its transformed my car!', 'Great, does what it says on the tin', ""great tool to have when working on bmw's use the universal adapter for coding on e & f series and running logs using the mhd app makes reading and resetting fault codes a breeze as well\r\n"", 'Works exactly as you would expect. Fast connection. Fast shipping. Even got free goodies in the package too!']"
1,1,8.04E+12,Bootmod3 BMW MINI Wireless OBDII Wifi Enet CANbus Flash Adapter,Bootmod3,Tuning Remap,ECU Remap,2023-03-21T08:44:42+00:00,567,574,1000,TRUE,BM3-WIFI-2,[]
2,2,8.04E+12,Bootmod3 BMW MINI Wireless OBDII Wifi Enet CANbus Flash Adapter,Bootmod3,Tuning Remap,ECU Remap,2023-03-21T08:44:42+00:00,464,,1000,FALSE,BM3-WIFI-3,[]
3,3,4.68E+12,Integrated Engineering IE POWERlink V4 Flash Tune Cable | With Mobile Flashing,Integrated Engineering,Tuning Remap,Not Found,2020-05-09T21:04:09+01:00,785,872,1000,TRUE,IESOVU7,"['Very pleased with the service provided, i will be using ML Performance to complete my repair. Also the note in my package was unexpected but a nice touch to the service. Once again thanks ML Performance.', ""I've noticed a significant improvement in the fuel economy of my vehicle after installing mlp's car parts. It's a welcome change."", 'Superb customer service from the lads at ML Performance', ""I've purchased multiple car parts from ML Performance, and every time the delivery was prompt, ensuring minimal downtime for my vehicle."", 'Great product very simple to use. ML performance are a reliable and actually customer focused company, which is a refreshing change from the norm. Thank you.', ""mlp's car parts have improved the overall aesthetics of my vehicle. They offer a sleek and modern look."", 'No issues at with ML Performance. Big thanks to Sam.', 'absolute class purchase. Product is really good, has a quality feel to it and it sounds amazing. Had a really good service from ML performance they kept me updated throughout and I would not hesitiate to order from them again.', 'As mentioned by other reviewers, worth every penny and then some.', 'Braught these as a birthday present for my husband. They are spot on exactly what he wanted exactly as described. Such fast delivery, brilliant communication from the company and a beautiful hand written note in side, second time we have used this company and will definitely be using again for future purchases. Thank you ML performance.', 'ML were quick to dispatch, great bit of product']"
4,4,8.08E+12,xHP BMW OBDII Flashtool WiFi Adapter,xHP,Tuning Remap,Tuning Box Accessories,2023-07-11T12:03:29+01:00,299,246,2000,TRUE,xHP-Flashtool,"['Nice and easy to use! Syncs with phone instantly', 'Ordered on Wednesday and came on Friday.. fast delivery can’t complain at all👍\ud83c']"
5,5,1.48E+12,"Bootmod3 Remap/Tune License For BMW S55 F80 F82 F87 - FREE ENET CABLE (M2 COMPETITION, M3 & M4)",Bootmod3,Tuning Remap,ECU Remap,2018-03-09T11:29:25+00:00,2802,,100,TRUE,BM3-S55,"['You can get these at a very competitive price from ML Performance.', ""mlp's car parts have improved the overall performance and efficiency of my vehicle's engine. It's a noticeable upgrade."", ""Fantastic service and opportunity to increase the car's already blistering performance. Results are like night and day!!"", 'License email received within the hour, very quick and straightforward and it was the cheapest I found', 'Ordered BM3, received seriel number within 20mins. \r\nPerfect service. ', 'Ordering was simple, license was sent through quickly and responses from them were prompt and they answered all questions that I had.', 'Easy to use. Customisation with maps are awesome! ', 'This is my 3rd order from ML performance and always have great customer service, BM3 was very quick to come through via email and managed to install within 30 mins, so easy to use! Overall great product and will continue to use ML performance\r\n', 'Very easy to install, but would recommend looking at a few youtube videos just for familiarisation.\r\n\r\nOnce map was loaded difference was night and day, power delivery immense but not uncontrollable.\r\n\r\nBootmod platform is easy to use and informs of available updates.', 'I am extremely happy with my purchase and MLPerformance was very quick at providing me with the key after my payment. Overall I am very pleased with the service provided.\r\n\r\nI would definitely buy again from MLPerformance.\r\n', 'I purchase bm3 software for my bmw m4 and its very easy to install alone ', 'My experience purchasing and initially installing this product was brilliant. Marshall was on hand not only in working hours to answer and help me through all the questions and queries I had. Cannot recommend them enough. Breath of fresh air when it comes to online purchasing. ']"
6,6,1.75E+12,"Bootmod3 Remap/Tune License For BMW B58 F20 F30 F32 G01 G02 G30 - FREE ENET CABLE (M140i, M240i, 340i, 440i, 540i, 640i, 740i, 840I & X3 M40i)",Bootmod3,Tuning Remap,ECU Remap,2019-04-06T23:00:13+01:00,2802,,1000,TRUE,BM3-B58,"['Arrived on the next day after ordering thanks ML', '- paying was easy via Klarna;\r\n- delivery was almost instantaneous;\r\n- ML Performance is the place to get this from!', ""As others have said, service was great. Ordered on a Saturday afternoon and received the activation codes on Saturday evening no less! Can't fault these guys and the price is the best around.\r\n\r\nIf you are deliberating going Stage 1 and whether you should go OTS BM3 or custom tune - honestly just get BM3. The performance increase is great and it took me all of 4 mins to configure map to my liking and flash (including DME unlock) and the car feels like a different animal.\r\n\r\nBM3 Stage 1 93 + xHP Stage 3 map has transformed the car.\r\n\r\nWill be back to get that downpipe!!!"", 'Cheapest around and fast response with all details needed to active the BM3 account. Live chat before was very easy and also very fast replies.', 'Super smooth service, arrived within 3 days - software is super easy to use and the results are incredible!! Highly recommend!', 'Service was excellent and received within a couple of days. The product itself is like buying a different car. Completely changes the feel of the car and opens up the performance potential of the car for not a lot of money. Highly recommend.\r\n', 'My vehicle: M140i\r\nWork done: BM3 stage 2 (higher octane map) and cat modifications.\r\n\r\nCliche warning ⚠️ BUT the difference is night and day; the car is transformed into an absolute weapon. There’s very little point me writing much more: JUST BUY IT. Also, don’t waste the fuel should you have the opportunity to race an M2/3 (you WILL win in a lightweight 140); save it for the M4s, etc.\r\n\r\nOther stuff:\r\n- paying was easy via Klarna;\r\n- delivery of codes was almost instantaneous;\r\n- the software is very easy to install, set up and use (even on a Mac)\r\n- ML Performance is the place to get this from!', 'Received my activation code very quickly and efficiently and v pleased with both the product and service. Well reccomrnded', 'Service and support was brilliant from ML Performance meaning I was able to remap the car and makes changes to the map with ease. Highly recommend ML Performance for your BMW\r\n', 'These guys are brilliant, instant communication and fast delivery. I’ve bought a lot of things over the years when tuning cars and these guys are up there with the best. Will definitely be using ML Performance again!', '5 star service throughout purchasing and flashing using bootmod3 on windows laptop \r\n\r\nStage 1 on 93 Ron map flashed to my car in about 20min, car has totally changed into a beast \r\n\r\nBootmod3 have aloud me to Turn off cold start and also customise pops and bangs \r\n\r\nExcellent product and service ', 'Bootmod 3 the licence key arrived 10 minutes after 10 minutes. Flashed my car with an enet cable and windows laptop within another 10 minutes! Mlperformance smashing the customer service game again!\r\n', 'As always the experience of buying from MLperformance is great. After I purchased the license for Bootmod 3 the licence key arrived shortly after with all the relevant links needed for any help. Would highly recommend using mlperformance as their customer service is great.']"
7,7,1.49E+12,"Bootmod3 Remap/Tuning License For BMW N55 F Chassis - FREE ENET CABLE (M2, M135i, M235i, 335i, 435i, 535i, 640i, X3, X4, X5 & X6)",Bootmod3,Tuning Remap,ECU Remap,2018-03-09T11:29:25+00:00,2922,,1000,TRUE,BM3-N55,"['First class service and the difference in the car is night and day. Would highly recommend to anyone interested in tuning their n55 engine', 'The prompt and efficient customer service provided by ML Performance have impressed me. They prioritize customer satisfaction.', ""I've been using ML Performance's car parts for regular maintenance, and they have consistently delivered reliable and high-quality products."", ""mlp's car parts have improved the overall performance and responsiveness of my vehicle's engine."", 'Azren was very helpful via chat. Great service from ML Performance', 'Really easy, stress free. Product was also great and equally easy to use. No complaints.', 'I cannot fault the team at MLP. Purchasing and support was great and hassle free. Thank you once again team', 'I enjoy the simplicity of this plug in can configure and flash tune in a minute or two (after initial set up) the OTS maps show an amazing power curve there was no dips anywhere and at stage 2 98 Ron on my M135i (with the suggested upgrades) I made 413.5 BHP and 603 nm of torque. ', 'Order my parts in the afternoon and less then 24h later, they arrived at my place in Belgium. One of the best sites I’ve ordered yet! Very customer friendly! The products where like expected, perfect!']"
8,8,4.66E+12,ML Performance BMW F & G Series BM3 OBDII to ENET Cable,ML Performance,Tuning Remap,Tuning Box Accessories,2020-04-30T20:59:06+01:00,145,148,1000,TRUE,MLP0100,"['First order from ml performance, took advantage of a Black Friday deal just before Xmas .. Very pleased with the service I received .. I will definitely purchase from ml performance again in the future', 'Everything perfect', 'Excellent works perfectly', 'Brilliant nice and quick and spot-on', 'This is a good cable. Manage to flash my car without any problem!! As usual, ML Perfomance always gives the best service! Its a smooth and fast process buying from your site! Definitely will order more parts for my BMW soon!\r\n']"
9,9,10468129876,"BMS BMW B38 B46 B48 B58 JB+ - 3 Wire Version (Inc. M140i, M240i, 340i, 440i & 540i)",BMS,Tuning Remap,Tuning Box,2016-07-19T23:59:00+01:00,1060,,1000,FALSE,F-B48B58-JBP,"['Very competitively priced by ML performance and the item was shipped very quickly. It was easy to install and performance gains are instantly noticeable. You can not go wrong for the price of this performance product, highly recommend it for any B58 engine.', 'Excellent overall experience with this shop. \r\nPerfect product - extra power , 2 min installation, no need to change anything in car software. \r\nI`m very satisfied , thank you.', 'Excellent service. Ordered Thursday evening and product delivered Saturday.\r\n\r\nSuperb product for the money. Noticeable extra power and torque. Would recommend JB+ and Ml Performance to anyone.', 'Happy with delivery,I feel that the jb+ could do with a bit more protection as the packaging wasn’t quite enough considering it is a delicate electrical item but other than that I’m happy. I turned down my jb+ to the 2pm position,fitting was easy enough. I did find initially that the power wasn’t as smooth when pushing on but after 100 miles or so and a few engine on off cycles the power delivery is the same as stock,I think the ecu just needs to adapt to the unit. The car picks up much quicker now in all driving modes and is keen to rev, turbo spool is louder and boost comes quicker with less lag. For the price I feel the jb+ is a great upgrade for extra power and even at a lower setting the car is noticeably faster,if you want a bit more excitement from your M140i get a jb+!', 'Very quick delivery and clear instructions supplied online for a very easy fit to the car.\r\nHugh increase to performance with no noticeable downside to fuel consumption on a day to day basis. Highly recommended if you want a simple fit band remove device.', 'Very quick delivery and clear instructions supplied online for a very easy fit to the car.\r\nHugh increase to performance with no noticeable downside to fuel consumption on a day to day basis. Highly recommended if you want a simple fit band remove device.\r\n', 'Quick and easy transaction and was delivered the next day.', 'Quick and easy transaction and was delivered the next day.', 'Great product improved overall power, excellent and friendly service would definatly deal with yourselfs again in the future!!\r\nThanks\r\n', 'Excellent service from ML Performance - arrived within two days of ordering! The BMW T Map sensor is difficult to un-clip on the B58 unit, after many expletives and patience I finally fitted the JB4 - left it on the 3pm position... wow, the difference can be felt right away, even in comfort the car picks up speed far too easily. Sport mode in manual thorough 2nd to 5th is a handful but you can feel the higher end torque and extra bhp. I now feel it has proper M3/M4 pace - once tires are warmed up!', 'Absolutely brilliant, tuning product worked exactly as it should, arrived on time and even a little greeting message from the ML team. Was very pleased. Top professional service by ML Performance\r\n', 'To be honest i purchaed this not really thinking it would do any thing, or would cause the dreaded b58 throttle closure at too end, however i was wrong, before fitting the unit i turned it down to the 2pm position, the car now has much more mid range go! And you now hear the turbo a bit more due to upping the boost. ', 'Looked online for people’s experience with the jb4+ and decided to buy the little black box of tricks , dropped mlperformance a message and within 10 minutes they answered , I asked if I could buy and pick it up the box and yes was the answer .\r\nAn hour later the box was on the car and the drive home was just so much better , the power delivery is smoother than standard and the surge of top end power was worth every penny I can’t praise mlperformance enough .', 'Nice product, easy to install with gains that are instantly noticeable. Had my car on the dyno just to see how much improvement there was. My 140 made, over three runs 393, 397, 401 bhp! i have a aftermarket exhaust system but still impressive for the money. Going to try a different dyno just to be sure though! No EML’s no issues in normal driving. Only downside is it’s not as smooth as it delivers the power on WOT. Quite aggressive really! But I like this product and would recommend it.', 'I purchased this JB+ from ML performance and it is excellent. The power gains a very noticeable and the service I received was second to none. I would deffinatly use them again.', 'Messaged MLP about sourcing a JB+ for my M240i. Received a near instant response giving me all the information I needed (was in development at the time). A few weeks later got a follow up email letting me know it was now in stock. I promptly ordered and received the item a few days later.\r\nCan honestly say it is the best modification I have added to my car, transforms the driving experience and feels every bit as rapid as our M4 in a straight line now. 5k miles later no problems, if anything the engine feels even more linear and smooth in its power delivery.']"
10,10,8735646279,BMS BMW N54 N55 3.5 Bar TMAP Adapter (135i & 335i),BMS,Tuning Remap,Tuning Box Accessories,2016-07-19T23:59:00+01:00,194,,1000,FALSE,E-N54-JB4UG-TMAP-35,"['Excellent experience\r\nFast shipping \r\n5/5\r\nThanks guys', 'Purchased a remap from mlperformance and due to the limitation of the STD TMAP I purchased a upgraded TMAP with the adapter cable. Easy to fit and worked a treat. So impressed with mlperformance... many thanks......', 'good product and good communication', 'Extremely quick service of shipping to Portugal!', 'Easy to navigate website with lots of products for the N54. Great telephone support and the best bit is a hand written message in the parcel - great touch!']"
