,Unnamed: 0.1,Unnamed: 0,id,title,vendor,category,prod_type,publish,price (MYR),compare_at_price (MYR),weight (grams),available,sku,rating,review_count,questions,review
0,0,0,7.79033E+12,Bosch Aerotwin Flat Wiper Blade Single AP18U Front,Bosch,Wiper Blades,Wiper Blade,2022-07-26T06:50:18+01:00,49,49,5000,TRUE,485777187,5,473,0,"['Easy to install, good value for money', 'Bought them with the front wipers and they are brilliant', 'Purchased these as a replacement and they have been perfect from day 1. No jumping and no water left behind.', 'ML Performance were offering a good price so I did not hesitate to buy them.', 'Does what it says on the tin ... usual excellent customer service from ML. Cheers', 'Excellent customer service, fast and easy install! Overall great product. Thank you ML!', 'The team are professional, efficient and competent. Many thanks', 'Car parts market is very competitive, but the customer support is the thing that makes the guys from ML Performance to stand out.', 'Quick delivery, great service. Very happy with the product and would definitely use ML performance again for any future products Iâ€™d be looking to purchase.', 'First of all, I would like to say thank you to ML Performance for making this purchase possible. I have to say its a smooth, fast and easy experience! And I would definitely recommend to anyone out there who wants to order BMWparts. 100% trusted & legit seller!! Looking forward for my next purchase from you guys. Keep it up ML Performace!', 'Great service, fast delivery and everything as advertised. Very helpful with import to South Korea. I will definitely use MLP in the future for my car', 'Thanks ML Performance!! Your service is never a let down!! Keep up the good work!!', 'There was even a little note in the parcel apologising for any delay even though there wasnt any which was a nice touch. I was also impressed that this UK company - ML Performance.', 'Impressed with the attention to detail when it comes to customer service. I can normally find faults in most things, but i must say i cannot find any with MLPerformance... Advice and help', 'They have exceeded my expectations and all the products have been perfect top quality, add that with the excellent customer service results in I personally will not purchase from anyone else. They cannot be beaten.', 'Very good communication with MLperformance and fast shipping! I will order again soon.', 'I contacted ML Performance . I emailed ML to verify it was actually in stock. Mika replied quickly and answered all my questions. She even verified they had the item in-person! Once I felt comfortable with the purchase and ordered the unit, it took only 3 business days to arrive from the UK to the USA, and I could track it via DHL the entire time! While initially nervous Im glad I did. I wouldnt hesitate to recommend ML Performance in the future.', 'As usual, a very good personal service from Marshall and his team. Again, thank you for the great service, Marshall and the team. Highly recommended and I for sure will be throwing more moneyt towards ML Performance in the future!', 'Turned up super quickly as usual, always a good experience with ML.', 'The guys at ML are great at answering my questions! Received it next day and quality is really good I must say. Thanks guys!', 'Bought at 12pm and dispatched at 1pm way to go ML!', 'Another great experience shopping with ML Performance.', 'Regarding your businesses Service, i have to to admit, it has been one of the best, and quickest experiences ive had in a very very long time form a company. Had my product delivered in record time, which was unexpected, and so refreshing. Id love to purchase more from ML Performance, which i can guarantee i will be doing in the near future. Its always great to do business with someone who understands that time is money, and that efficient packaging is where the customers satisfaction actually is. Thank you very much for the experience, and the follow up. Much appreciated.', 'Great price. Fast delivery from ML', 'ML guys are great! My order was prepared on the same day of the order and I received the piece on the expected time. The customer service is great and they replay to you immediately with the best of manners. Overall experience: will order parts again!', 'Super fast delivery,easy to order. would deffo order from ML Performance again.', 'Always receive things quickly when ordering from ML.', 'I recently made a purchase through ML performance.. they answered all my questions and gave great advice. The delivery of the items was very swift and accompanied with a thank you and a small token gift.. lovely to receive such great customer service', 'Arrived in good time, quality product, great price. Would recommend ML Performance', 'We all know how important it is to build a good customer base. The secret to success is to remain competitive and offer great service. ML Performance achieve both of those goals. I asked questions about my purchase before hitting buy. I had a reply quickly and great guidance. The email not only gave me the answer I needed but a link to the right product. Saving me time and confusion. The item arrived as described and was well packaged. I cannot wait to pop the part on my car. Great job ML. I will be coming back soon.']"
1,1,1,7.79034E+12,Bosch Aerotwin Flat Wiper Blade Single AP22U Front,Bosch,Wiper Blades,Wiper Blade,2022-07-26T06:50:50+01:00,56,56,5000,TRUE,485777227,5,454,0,"['Great price for the best wiper blades on the market', 'Bought it as a replacement for my daughters rear wiper blade.', 'Really easy to fit and good quality', 'Very happy..no more Halfords', 'Called Sarrah and she recommended this for my car. Tip top service from ML Performance!', 'Will always come back to ML Performance.', 'Products arrived quickly and well packaged, everything was exactly as I had ordered (I have made a few orders, great service every time) and I will be using ML Performance again!', 'Dealing with Marshall and the team was an absolute pleasure. Rarely do you find businesses with such integrity. I purchased four items (some very fragile) and had them delivered to Australia in less than two weeks. Two items were showing very minor defects that I was not completely satisfied with. I contacted ML Performance via email and Marshall went above and beyond to exchange the items at their cost no questions asked. He then took the trouble to follow up and ensure that I was completely satisfied with my overall purchase. Rest assured that you can purchase from ML Performance with complete confidence. My rating. Communication: 5 stars Products: 5 stars Ease of exchange: 5 stars Business Ethics: 6 stars', 'Great job ml performance, thanks for keeping track of my order through a delay in production.', ""As described, arrived really quick (and free) and allowed me to sort my car out myself without main dealer charges. Have since bought a load more from ML and the handwritten note was a really nice touch! Will use again many times I'm sure"", 'Thanks for a first class service and product.', 'ML Performance were offering a good price so I did not hesitate to buy them.', 'Will buy it from ML Performance again.', 'Really recommend ML Performance. It takes 5 days to deliver that order to New Zealand.', 'The team at ML Performance did a brilliant job at delivring this item to me one time. Good work!', 'Great customer service and everything I ordered were great and made a big difference to my car. MLPERFORMANCE kept in contact so we were informed of everything', 'Will use again highly recommended...will not be disappointed with this product keep up the good work ML PERFORMANCE', 'As always, thanks ML team!', 'Exceptional service from ML and the delivery time is super quick, highly recommended', 'Used ml performance a few times , and never had a issue very helpful and polite and very fast shipping will be using them in the future', 'Customer Service was/is excellent as always. Product arrived in good time & in a well packagedbox I would recommend anyone after parts to go take a look at ML Performance. Thanks again ML Performance, from a very happy customer', 'First order from ml performance, took advantage of a Black Friday deal just before Xmas .. Very pleased with the service I received .. I will definitely purchase from ml performance again in the future', 'Amazing experience. Tks ML performance!', 'Inspired by Youtube I decided to purchase this. ML was the cheapest', 'Excellent product and great delivery service by mlperformance easy to install and very good quality a must have.', 'All good, ML make sure the part will fit before delivery, a good touch. High quality product at a good price. Very pleased.ðŸ‘Œ\ud83c', 'The guys at ML recommended this as an alternative. Received it next day and quality is really good I must say. Thanks guys!', 'Had to wait a little time for these to be shipped due to supplier but MLP kept me in the know at all times and as soon as they get them they were shipped same day and I got them the following! Good fitment too!', ""ML's filters helped"", 'Great quality item at a great price. Thanks ML team!']"
2,2,2,7.79033E+12,Bosch Super Plus Specific Wiper Blade Rear H306,Bosch,Wiper Blades,Wiper Blade,2022-07-26T06:48:52+01:00,27,27,5000,TRUE,485777400,5,440,0,"['Best price for the best wiper blades on the market', 'Relatively cheaper compared to elsewhere', 'On-time shipping.', 'Recommended.', 'The right replacement to my worn out wiper blades.', 'A1', 'Very good fit', 'Will definitely be ordering from ML Performance again, delivered on the said day for free and was an overall easy orderðŸ‘\x8d', 'Great overall service from ML', ""ML's filters helped"", 'Excellent service and very fast i will buy all parts from ml performance', 'First of all ML Performance great service, perfect delivery date and time. The product received with not one scratch or chips', 'Turned up super quickly as usual, always a good experience with ML.', 'Very impressed with product would recommend, great customer service and fast delivery from ML Performance as well thanks guys!', 'Service from ML Performance is excellent from fast delivery and a nice thank you hand written note, also very competitive prices, I will continue to use your company in the future. Thanks very much Dom', 'ML at its finest, ordered Friday received it on Saturday.', 'ML Performance were very communicative and helpful over the delivery of these parts which were out of stock when oredered. Woudl definitely buy from Marshall again.', 'We all know how important it is to build a good customer base. The secret to success is to remain competitive and offer great service. ML Performance achieve both of those goals. I asked questions about my purchase before hitting buy. I had a reply quickly and great guidance. The email not only gave me the answer I needed but a link to the right product. Saving me time and confusion. The item arrived as described and was well packaged. I cannot wait to pop the part on my car. Great job ML. I will be coming back soon.', 'Really happy with the purchase, the team at MLP was super helpful and the quality and performance of this product is just fantastic, will be back for more products!', 'First time ordering with ML and no complains at all. Placed order and received an email from a staff assuring me order was received within minutes. Received the item next day.', 'Customer Service was/is excellent as always. Product arrived in good time & in a well packagedbox I would recommend anyone after parts to go take a look at ML Performance. Thanks again ML Performance, from a very happy customer', 'As usual great item and support from MLP.', 'Thanks to MLPerformance for quick delivery.', 'I definitely recommend buying this. And a Big Thanks to MlPerformance for the Great Service!!!', 'Delivery was very fast. Always a reliable, efficient and professional service from all at ML Performance! Many thanks!', 'BIG THANKS to ML performance, wish you the best of luck.', 'Fast smooth service as always, super efficient will definitely deal with again and recommend to other people Many thanks again ML performance', 'Perfect fit. Great delivery service from MLpreformance to Portugal. 48H', 'The guys at ML were amazing this is not even an item anybody stocked in the uk! I contacted the guys they got me a great price and had the item on its way in no time! Best service EVER', 'Great product as always and great customer service from ML Performance. Product is well made. Would definitely recommend.']"
3,3,3,7.79034E+12,Bosch Aerotwin Flat Wiper Blade Single AP26U Front,Bosch,Wiper Blades,Wiper Blade,2022-07-26T06:53:38+01:00,61,61,5000,TRUE,485777267,5,441,0,"['Good value for your money.', 'The blades are of extremely high quality.', 'Fitted without any problems.', 'I was very pleased with my purchase. Also very easy to purchase through ML Performance website, and fast delivery too. Thanks again guys.', 'Many thanks ML Performance.', 'I was lucky to find this in the UK from MLperformance, I highly recommend this Very Happy', 'Really good experience using ML performance, second time using them and would highly recommend.', 'As usual, ML Perfomance always gives the best service! Its a smooth and fast process buying from your site! Definitely will order more parts for my BMW soon!', 'I have been really impressed with ML Performance. The website was easy to use and the response to my questions rapid. My itemswere delivered within 48 hrs. There was also a hand-written note from Charlotte in the packaging which was a great touch. Really good service and will definitely use again. Many thanks', 'Arrived on the next day after ordering thanks ML', 'No issues at with ML Performance. Big thanks to Sam.', 'Perfect fit. Great delivery service from MLpreformance to Portugal. 48H', 'As usual, a very good personal service from Marshall and his team. Again, thank you for the great service, Marshall and the team. Highly recommended and I for sure will be throwing more moneyt towards ML Performance in the future!', ""Great service from ML Performance. This was my first purchase as I've only just bought the car. Definitely recommend it."", 'As Always Super Fast Delivery And Dispatch From ML Performance My First Port Of Call For N54 Stuff', 'Overall, faultless and completely amazing. Turned up on time, quality product for a helpful price compared to its rivals. Overall ML Performance will get all of my business and promoting.', 'First of all, I would like to say thank you to ML Performance for making this purchase possible. I have to say its a smooth, fast and easy experience! And I would definitely recommend to anyone out there who wants to order BMWparts. 100% trusted & legit seller!! Looking forward for my next purchase from you guys. Keep it up ML Performace!', 'Have been using ML for a long time and the website has improved so much', 'Prompt delivery and such a great product. ML PERFORMANCE have always been so reliable. Always keep me informed and fast to rectify any order issues. Thank you.', 'Always receive things quickly when ordering from ML.', 'The team at ML Performance were absolutely fantastic on their knowledge of the products they sell. The dispatch and service was excellent.', 'Excellent service from ML motorsport', 'The team are professional, efficient and competent. Many thanks', 'The item(s) are new, were competitively priced and arrived promptly; enabling me to get the work done. The team at ML Performance offer great value on genuine parts, and stock an attractive range of aftermarket/upgrade options too. Ill definitely be purchasing from this company again!', 'flawless service from ML as always.... Fantastic service and is my go to place for any parts for my n54!!', 'Great quality product and easy to fit - used them before and never had a problem - good communication and excellent quick delivery - would buy again from ML Performance', 'So easy to fit them.', 'Quickly supplied by ML!', 'Great service from ML Performance, the product arrived quickly and safely. The price including delivery from the UK was way better than here in Australia.', 'Another amazing buy from MLPerformance! Marshall arranged for this to be settled for me at a reasonable cost and at a time that worked best for me.']"
4,4,4,7.79034E+12,Bosch Aerotwin Flat Wiper Blade Set A298S Front,Bosch,Wiper Blades,Wiper Blade,2022-07-26T06:51:53+01:00,107,107,5000,TRUE,485774100,5,18,0,"['Fantastic, suits my car!', 'Very impressed with the outcome', 'Great deal.', 'It had good fit.', 'Uncomplicated fitting.', 'Functioned as expected.', 'The item came just as stated.', 'I would repurchase in the future.', 'No issues with fitting.', 'Good packaging and quick shipping. The item is excellent.', 'Significant improvement compared the previous ones.', 'Affordable.', 'These were recommended to me by a friend, and I am quite pleased with the purchase.', 'Nice stuff!', 'Superior quality', 'Using the wipers for quite some time now and still works fine.', 'Value for money', 'Really happy.']"
5,5,5,7.79034E+12,Bosch Aerotwin Flat Wiper Blade Set A453S Front,Bosch,Wiper Blades,Wiper Blade,2022-07-26T06:51:04+01:00,98,98,5000,TRUE,485771190,0,0,0,[]
6,6,6,7.79034E+12,Bosch Retrofit Flat Wiper Blade Single Ar22U Front,Bosch,Wiper Blades,Wiper Blade,2022-07-26T06:51:23+01:00,46,46,5000,TRUE,485778220,5,476,0,"['The original one was functional but really noisy. This one is so quiet.', 'Fit perfectly. Works well. Seems to be good quality', 'Works perfectly on my Skoda Karoq.', 'Products arrived quickly and well packaged, everything was exactly as I had ordered (I have made a few orders, great service every time) and I will be using ML Performance again!', 'Was contemplating for a while whether to go for this and almost went for something less expensiveThere are a lot of cowboys out there, but these guys are definitely the real deal. ML Performance website is really helpful, easy to navigate, no crashing. Order arrived promptly after payment.', 'Quality and fitment is amazing, really impress with these, and MLP is a pleasure to deal with as usual. Will be back for my next mod!', 'Yet again ML Performance delivered. Thank you Marshall Lee and team.', 'ML done a great job with the delivery as well!', 'As expected, delivered very quickly, Thank you ML Performance.', 'The team at ML Performance did a brilliant job at delivring this item to me one time. Good work!', 'Perfect fit and great service by MLpreformance. 48H delivery to Portugal.', 'As Always Super Fast Delivery And Dispatch From ML Performance My First Port Of Call For N54 Stuff', 'This was a very last minute order (3pm) but Sam managed to get it out to me for next day delivery. ML Performance have out done themselves again!', 'Really recommend ML Performance. It takes 5 days to deliver that order to New Zealand.', ""Dear MLP.By your polite advice, I was able to use this It is very quick in arrival from an order. You're very kind."", 'Very pleased with the service provided, i will be using ML Performance to complete my repair. Also the note in my package was unexpected but a nice touch to the service. Once again thanks ML Performance.', 'There was even a little note in the parcel apologising for any delay even though there wasnt any which was a nice touch. I was also impressed that this UK company - ML Performance.', 'First of all ML Performance great service, perfect delivery date and time. The product received with not one scratch or chips', 'Called Sarrah and she recommended this for my car. Tip top service from ML Performance!', 'Excellent service from ML Performance, as usual. Very happy with product. Thanks , I will order again', 'No issues at with ML Performance. Big thanks to Sam.', 'Great item at a great price delivery was the next working day and that was even with the Christmas rush received Christmas Eve and as everyone else has already say the personal touch with a hand written note in the box top quality company selling top quality goods will have more to experience with purchases soon at MLP thanks again', 'The product is good, but the customer service is better! Thanks ML Performance!', 'Never purchased from ml performance before now,and in all honesty,their service was impeccable, they supplied exactly what I wanted,speed of delivery was excellent too,as for the product I purchased, not to many people know it neither used it,but this Afe air box combined with an air scoop,provided great results. The whole experience has definitely prompted me to seek further purchases from ml performance.', 'Ordered it, turned up the next day. Fantastic. MLP are great.', 'The guys at ML were amazing this is not even an item anybody stocked in the uk! I contacted the guys they got me a great price and had the item on its way in no time! Best service EVER', 'Recieved item next day service is top like always very trutworthy always use ml performance. very happy highly recommend', 'Arrived on the next day after ordering thanks ML', 'Marshall and ML Performance have to be the best, most efficient and personal service experience we have ever had!!! Great to deal with, great products, great prices, fast shipping. This is 6 Stars Service!!!', 'Very good quality product. Shipped next day and delivered promptly, will use MLPerformance again!']"
7,7,7,7.79032E+12,Bosch Retrofit Flat Wiper Blade Single Ar24U Front,Bosch,Wiper Blades,Wiper Blade,2022-07-26T06:46:31+01:00,50,50,5000,TRUE,485778240,5,393,0,"['Easy to install.', 'Quality wiper. Better than factory fitted', 'I now have silent wiper blades that clear water with no streaks.', 'Thank you mlperformance for your recomendation. Congrats for your superb support of costumer.', 'Fits perfectly - cannot fault ML Performace at all - they are a professional bunch and provide a great service will continue to use', 'Everything works fine.Good ML performance team.', 'My goods were delivered within 8 days from ordering them (mind you from the day on which the goods left MLP HQ and arriving at my front door in South Africa was just under 3 days - I am truly impressed by the service. The Staff as well at MLP are extremely friendly. Thank you!!!', 'ML Performance were offering a good price so I did not hesitate to buy them.', 'Emergency email to the team at ML & they had a new one to me (all the way to Australia) within a week Bravo ML - thanks for your help as always', 'This item was purchased as a gift for my other half for Christmas. The item was received in perfect condition and in time. ML Performance kept me informed every step of the way. I highly recommend this Company and their products. My partner was over the moon and I am now the best girlfriend in the world as a result .... thanks guys/gals', 'The guys at ML Performance gave great service and communication was very prompt, highly recommended.', 'Was so easy to deal with ML Performance, the product was shipped promptly to Australia.', 'Communication was always replied to and I was kept informed fully, definitely will use ml performance again thankyou', 'Great service from ML Performance who were responsive and on hand to sort out some issues which were out of their control. I will definitely use them again in the future.', '5 stars both to ML', 'In addition to the professionalism of the ML Performance team, they also provide the best competitive prices.', 'Great service from ML and the team.', 'Great Service from ML performance they keep you updated throughout . Great company and great product', 'Fast postage, order processed quickly on a Sunday and delivered by Tuesday. Good value at the time of order, good experience with first time ordering with ML. I would order more but usually find pricing at ML being the best Specifically with this order, all good.', 'Great customer service and everything I ordered were great and made a big difference to my car. MLPERFORMANCE kept in contact so we were informed of everything', 'Seems a good product and the one advised for my Vehicle. Super service by ML Performance.', 'Great job ml performance, thanks for keeping track of my order through a delay in production.', 'Delighted with the product and the service of the ML Performance Team!', ""If you have the bmw m235i you know how fantastic it is! But if I had one complaint it would be the car doesn't sound as fast as it goes. So I found ML Performances and looked into this rear box delete. It sounds amazing! It's a must have product! The quality of the pipe work and welding is unmatched, It fits well also. Depending on your preference the tips provided are fine for the price but the ends of the tips where not rolled and where clean cut.. meaning they where pretty sharp so amending this is important if you dont want to cut yourself when washing the car. Also be aware the sound is very cool but you may come across a little bit of drone.. its expected but two ways to fix this is by when at low speeds just easing off the throttle a little more than you would normally. And when in sport mode (the pops are like gun shots) it's best to remove the exhaust audio fuse as it causes drone. Ps its unlikely to pass an mot, best to know your mot garage well or keep the old silencer and swap it back over for test."", 'The team at ML are spot on and got this out to me very quickly, have purchased a couple of bits from ML and am very happy with service - highly recommend!!', 'The support from ML performance was great, would recommend them to anyone. Many thanks', ""Anyone wondering about this product it's 5***** all the way quality is superb and also ml performance are deffinately 1 of the leading parts shop going very quick response helpful and delivery and packing very speedy and secure thanks for all your help"", 'Contact MLP and this was delivered to me within 24 hours from order, car back on the road and a very happy customer! Would try and shop here where possible going forward for all my parts', 'Super fast delivery,easy to order. would deffo order from ML Performance again.', 'Was contemplating for a while whether to go for this and almost went for something less expensiveThere are a lot of cowboys out there, but these guys are definitely the real deal. ML Performance website is really helpful, easy to navigate, no crashing. Order arrived promptly after payment.']"
8,8,8,7.79033E+12,Bosch Retrofit Flat Wiper Blade Single Ar26U Front,Bosch,Wiper Blades,Wiper Blade,2022-07-26T06:48:03+01:00,52,52,5000,TRUE,485778260,5,473,0,"['Work perfectly for seat leon tsi 2014', 'Very easy to remove old one and fit new one.', ""Easy to fit on don't leave any dears fo the job perfectly."", 'Great quality product and easy to fit - used them before and never had a problem - good communication and excellent quick delivery - would buy again from ML Performance', 'Top product. Good price Quick delivery time. I will order soon some good from ML performance. Thank you', 'It does as it says on the tin. Fairly straightforward. Thanks once again to the team at MLP, keeping me informed of the order throughout a very busy Christmas period. Where delays can be expected. Look forward to doing business again.', 'ML performance are top notch for service and cannott do enough for well recommended and will use them in the future', 'First time ordering with ML and no complains at all. Placed order and received an email from a staff assuring me order was received within minutes. Received the item next day.', 'Thank you ML for the quidk delivery', 'Really good experience using ML performance, second time using them and would highly recommend.', 'ML Performance were very communicative and helpful over the delivery of these parts which were out of stock when oredered. Woudl definitely buy from Marshall again.', 'Easy install. And the team at ML were great. And fast delivery from overseas. I think 3 days in total! If your on the fence just do it', 'Prompt delivery and such a great product. ML PERFORMANCE have always been so reliable. Always keep me informed and fast to rectify any order issues. Thank you.', 'ML always good customer service', 'I definitely recommend buying this. And a Big Thanks to MlPerformance for the Great Service!!!', 'First time using ML Performance Im not disappointed.', 'In addition to the professionalism of the ML Performance team, they also provide the best competitive prices.', 'Quality and fitment is amazing, really impress with these, and MLP is a pleasure to deal with as usual. Will be back for my next mod!', 'Outstanding support from ML Performance.', 'Easy to fit and worked a treat. So impressed with mlperformance... many thanks......', 'Turned up super quickly as usual, always a good experience with ML.', 'Product works well and as expected. Light and good build quality. Always great service from ML performance too.', 'Cant fault Ml performance, I did a over the phone order very helpful and know what there on about, fast delivery', 'Another amazing buy from MLPerformance! Marshall arranged for this to be settled for me at a reasonable cost and at a time that worked best for me.', 'This was a very last minute order (3pm) but Sam managed to get it out to me for next day delivery. ML Performance have out done themselves again!', 'Will definitely be ordering from ML Performance again, delivered on the said day for free and was an overall easy orderðŸ‘\x8d', 'Ordered it, turned up the next day. Fantastic. MLP are great.', 'Item arrived packaged well with a note also, which is a nice touch. Due to the current climate delivery took much longer than expected but had emails from Ml with updates. Product works as expected and gives brilliant power gains. Will certainly be using MLperformance again.', 'Not used as yet but made the most of the Black Friday sale. All my mods have come from ML, as always helpful and kept informed through to delivery.', 'Good communication with MLP, quick delivery, what I liked the most was the personal touch with a hand written letter, thanking me for my custom with a good after sales advice if I needed it, TOP JOB GUYS keep it up. Best regards']"
9,9,9,7.79034E+12,Bosch Aerotwin Flat Wiper Blade Rear A282H,Bosch,Wiper Blades,Wiper Blade,2022-07-26T06:52:31+01:00,27,27,5000,TRUE,485775310,5,413,0,"['Ordered on Saturday night and was here by Monday! Mind blowing!! Keep up the brilliant work, and I will 100% be coming back :)', ""This item was delayed because of ML's supplier but ML made sure to inform me regarding this and shipped my other orders first that are readily available. Great customer service, great products, will definitely order again from this shop."", 'Advice from ML is first class and would use ML again for their knowledge and excellent communication', 'My experience with ML PERFORMANCE has been nothing but top quality the website was easy to use with top quality products. Following purchase there was a delay in the delivery which was no fault of the companyâ€™s however I was updated regularly the whole time. Now I have the products Iâ€™m completely happy and satisfied I will definitely be purchasing more products from here again', 'Browsed through couple of websites but found the best price on ML Performance.', 'ML performance got this delivered asap and item works great! Would highly recommend!', 'Great product. Fantastic service from ML Performance too! Thanks', 'Delighted with the product and the service of the ML Performance Team!', 'BIG THANKS to ML performance, wish you the best of luck.', 'Must say service from ml performance was a+. Fast dispatch and delivery and the item was well packaged so not one but of concern of any damage. Excellent item and worth every bit the price.', 'Easy install. And the team at ML were great. And fast delivery from overseas. I think 3 days in total! If your on the fence just do it', 'Exceptional service from ML and the delivery is super quick, highly recommended', 'Really impressed with the quality of this product and the great service by the MLP team!', 'Very good quality product. Shipped next day and delivered promptly, will use MLPerformance again!', 'When I emailed ML for advice on fitting I got an immediate reply with sound advice. Cannot fault it at all. Great service.', 'Service and support was brilliant from ML Performance. Highly recommend ML Performance', 'Service from ML which is very good', 'Works as it should.....great service from ML Performace', 'Excellent customer service, fast and easy install! Overall great product. Thank you ML!', 'Glad Ive ordered them. The service was excellent I was kept up to date with the status and the order was shipped when they said it will. I love the personal touch with the hand written message and sweet snack! Hope they can keep those even when the business grows more!', 'Extremely happy with my purchase. Once I placed my order it was immediately despatch. It arrived sooner than I thought, when I opened the package I was greeted with a thoughtful hand written thank you note. I hope to purchase some more items in the future and wouldnâ€™t hesitate to use ML Performance again.', 'Dear Mlp.I was able to very easily do it.Thank you very much.', 'Was contemplating for a while whether to go for this and almost went for something less expensiveThere are a lot of cowboys out there, but these guys are definitely the real deal. ML Performance website is really helpful, easy to navigate, no crashing. Order arrived promptly after payment.', 'Top Notch Product And Service From ML Super Fast Secure Dispatch As Always', 'Great product. MLP service though is the highlight of this review. From arranging a specific day delivery for me to chasing up and arranging delivering of missing parts (not their fault) Will be using these guys for all future purchases ! Keep up the good work', 'Team at ML were constantly updating me with updates when the product was going to come. Extremely happy with the product and service I received would 100% recommend', 'The guys at ML were amazing this is not even an item anybody stocked in the uk! I contacted the guys they got me a great price and had the item on its way in no time! Best service EVER', 'Great service and prompt delivery from ML performance.', 'Very easy to use with great results . ML Performance were very helpful with great service and fast delivery.', 'Used ml performance a few times , and never had a issue very helpful and polite and very fast shipping will be using them in the future']"
