,id,title,vendor,prod_type,publish,price (MYR),compare_at_price (MYR),weight (grams),available,sku
0,8014750810333,Autoglym Polar Blast 2.5L,Autoglym,Car Care Accessories,2023-02-22T02:37:15+00:00,67.00,67.00,2500,True,AUTOGLYM-PB002.5
1,7991776805085,Holts 1L Deionised Water,Holts,Care Care Accessories,2023-02-07T07:57:10+00:00,9.00,,1000,False,HMTN0009A
2,8014751203549,Autoglym Polar Wash 2.5L,Autoglym,Car Care Accessories,2023-02-22T02:37:33+00:00,59.00,59.00,2500,True,AUTOGLYM-PWS002.5
3,7696404775133,Liqui Moly Pro Line Direct Injection Cleaner 120ml,Liqui Moly,Oil & Fluid,2022-05-18T08:44:54+01:00,57.00,57.00,500,True,21281
4,7991789879517,STP 500ml Professional Brake Parts Cleaner,STP,Care Care Accessories,2023-02-07T08:31:10+00:00,15.00,18.00,1000,False,GST72500ENP
5,7696364601565,Liqui Moly Air Freshener Decoration Girl,Liqui Moly,Oil & Fluid,2022-05-18T08:20:11+01:00,10.00,10.00,100,True,1698
6,8014752350429,Autoglym Fast Glass 500ml,Autoglym,Car Care Accessories,2023-02-22T02:39:36+00:00,34.00,34.00,2000,True,AUTOGLYM-FG500
7,8014751039709,Autoglym Polar Seal 1L,Autoglym,Car Care Accessories,2023-02-22T02:37:28+00:00,77.00,77.00,2500,True,AUTOGLYM-PSL001
8,7974154895581,Sonax PROFILINE CeramicCoating CC Evo,Sonax,Car Care,2023-01-01T04:13:39+00:00,449.00,589.00,1000,True,2379410
9,7696364896477,Liqui Moly Injection Cleaner 300ml,Liqui Moly,Oil & Fluid,2022-05-18T08:20:21+01:00,32.00,32.00,1500,True,1803
10,7696372138205,Liqui Moly Rapid Cleaner | Brake & Parts Cleaner Spray 500ml,Liqui Moly,Oil & Fluid,2022-05-18T08:25:14+01:00,198.00,17.00,1500,True,3318
11,7670259024093,Turtle Wax Odor-X Whole Car Blast New Car 100 Ml Air Freshener,Turtlewax,Car Care Accessories,2022-04-25T07:48:01+01:00,21.00,,100,False,Turtlewax-53030
12,7655338279133,Soft99 Interior Detailing Brush,Soft99,Car Care Accessories,2022-04-14T08:32:48+01:00,15.00,13.00,500,True,552778431
13,7696369615069,Liqui Moly Valve Clean 150ml,Liqui Moly,Oil & Fluid,2022-05-18T08:23:34+01:00,26.00,26.00,500,True,2952
14,7702378447069,Liqui Moly Air Flow Sensor Cleaner 200ml,Liqui Moly,Oil & Fluid,2022-05-23T10:15:43+01:00,29.00,29.00,500,True,4066
15,7974171640029,Sonax XTREME Brilliant Shine Detailer 750ml,Sonax,Car Care,2023-01-01T04:17:29+00:00,52.00,52.00,750,True,2874000
16,7702375760093,Liqui Moly Speed Air Freshener Lemon,Liqui Moly,Oil & Fluid,2022-05-23T10:05:12+01:00,7.00,9.00,100,True,1661
17,7655337623773,Soft99 Exterior Detailing Brush,Soft99,Car Care Accessories,2022-04-14T08:32:35+01:00,15.00,13.00,500,True,552778441
18,7974172262621,Sonax XTREME Ceramic Ultra Slick Detailer 750ml,Sonax,Car Care,2023-01-01T04:16:11+00:00,77.00,77.00,750,True,2684000
19,7974172459229,Sonax XTREME Clear View 1:100 Concentrate 250ml,Sonax,Car Care,2023-01-01T04:16:27+00:00,49.00,49.00,250,True,2711410
20,8014750875869,Autoglym Polar Blaster - Ultimate Snow Foam Gun Kit,Autoglym,Car Care Accessories,2023-02-22T02:37:19+00:00,185.00,185.00,580,True,AUTOGLYM-PBKIT
21,8014749270237,Autoglym De-Icer 500ml,Autoglym,Car Care Accessories,2023-02-22T02:35:00+00:00,23.00,23.00,2000,True,AUTOGLYM-DI500
