,id,title,vendor,prod_type,publish,price (MYR),compare_at_price (MYR),weight (grams),available,sku
0,10006893386,Genuine BMW 13717568031 Chargepipe O Ring N54 & N55,BMW,Chargepipe & Valves,2016-07-19T23:59:00+01:00,60.00,49.00,1000,True,13717568031
1,1618312429658,"Masata BMW N55 F20 F22 F30 F32 Aluminium Chargepipe (M135i, M235i, 335i & 435i)",Masata,Chargepipe & Valves,2025-02-04T06:58:59+00:00,1056.00,1243.00,6000,True,MST0005
2,9598153226,"Masata BMW Chargepipe C-Clip N54 & N55 (Inc. M135i, M235i, 335i & M4)",Masata,Chargepipe & Valves,2016-06-13T07:40:00+01:00,122.00,144.00,1000,True,MST0080
3,395159339039,"Forge BMW N55 Chargepipe (M2, M135i & M235i)",Forge,Chargepipe & Valves,2016-06-13T07:40:00+01:00,1551.00,1773.00,5000,True,FMBP135F20
4,5311344246943,"Masata BMW N54 E82 E90 E92 Silicone Inlets (1M, 135i, 335i, 535i & Z4)",Masata,Inlet & Outlet,2020-06-20T23:44:41+01:00,845.00,994.00,13000,True,MST0115
5,5311344246943,"Masata BMW N54 E82 E90 E92 Silicone Inlets (1M, 135i, 335i, 535i & Z4)",Masata,Inlet & Outlet,2020-06-20T23:44:41+01:00,845.00,994.00,13000,True,MST0116
6,11508900948,"Go Fast Bits T9356 BMW N55 Diverter Valve Upgrade (135i, M135i, M235i, 335i & 435i)",Go Fast Bits,Chargepipe & Valves,2017-07-17T16:07:00+01:00,501.00,589.00,1000,True,T9356
7,1619255230554,"Masata BMW N54 E82 E90 E92 Aluminium Chargepipe (1M, 135i & 335i)",Masata,Chargepipe & Valves,2020-08-05T14:17:00+01:00,718.00,845.00,6000,True,MST0039
8,1619255230554,"Masata BMW N54 E82 E90 E92 Aluminium Chargepipe (1M, 135i & 335i)",Masata,Chargepipe & Valves,2020-08-05T14:17:00+01:00,718.00,845.00,6000,True,MST0001
9,784596631642,"Forge BMW N55 Turbo to Intercooler Hose (M2, M135i, M235i, 335i & 435i)",Forge,Chargepipe & Valves,2016-06-13T07:40:00+01:00,435.00,497.00,2800,True,FMKT135F20
10,1696281493594,"Masata BMW B58 F20 F30 Aluminium Chargepipe (M140i, M240i, 340i & 440i)",Masata,Chargepipe & Valves,2019-01-09T01:29:22+00:00,1056.00,1243.00,3000,True,MST0009
11,451835068447,"Forge BMW N54 Chargepipe with BOV (1M, 135i & 335i)",Forge,Chargepipe & Valves,2016-06-23T01:20:00+01:00,2087.00,2386.00,10000,True,FMBM335DV1-8
12,451835068447,"Forge BMW N54 Chargepipe with BOV (1M, 135i & 335i)",Forge,Chargepipe & Valves,2016-06-23T01:20:00+01:00,1779.00,2182.00,10000,False,FMBM335DV1-6
13,451835068447,"Forge BMW N54 Chargepipe with BOV (1M, 135i & 335i)",Forge,Chargepipe & Valves,2016-06-23T01:20:00+01:00,2087.00,2386.00,10000,True,FMBM335DV1-10
14,451835068447,"Forge BMW N54 Chargepipe with BOV (1M, 135i & 335i)",Forge,Chargepipe & Valves,2016-06-23T01:20:00+01:00,2087.00,2386.00,10000,True,FMBM335DV1-11
15,451835068447,"Forge BMW N54 Chargepipe with BOV (1M, 135i & 335i)",Forge,Chargepipe & Valves,2016-06-23T01:20:00+01:00,2087.00,2386.00,10000,True,FMBM335DV1-12
16,451835068447,"Forge BMW N54 Chargepipe with BOV (1M, 135i & 335i)",Forge,Chargepipe & Valves,2016-06-23T01:20:00+01:00,1779.00,2182.00,10000,False,FMBM335DV1-P
17,1707297701978,"Masata BMW N55 F20 F22 F30 F32 Turbo to Intercooler Pipe (M2, M135i, M235i, 335i & 435i)",Masata,Chargepipe & Valves,2019-01-09T01:29:22+00:00,803.00,945.00,4000,True,MST0006
18,11073829524,"Genuine BMW 13627843531 N20 N54 N55 S55 S63 3.5 Bar Pressure Sensor (Inc. 125i, 328i, M5 & M6)",BMW,Chargepipe & Valves,2016-07-19T23:59:00+01:00,490.00,,1000,False,13627843531
19,4686987067482,"Turbosmart BMW N13 N55 Kompact EM VR9 Valve (inc. M135i, M235i, 335i & 435i)",Turbosmart,Chargepipe & Valves,2020-05-16T13:04:11+01:00,1223.00,1223.00,3000,True,TS-0223-1092
20,4686987067482,"Turbosmart BMW N13 N55 Kompact EM VR9 Valve (inc. M135i, M235i, 335i & 435i)",Turbosmart,Chargepipe & Valves,2020-05-16T13:04:11+01:00,1157.00,1157.00,3000,True,TS-0223-1292
21,1745336860762,Masata BMW N55 F87 M2 Aluminium Chargepipe,Masata,Chargepipe & Valves,2019-04-04T02:11:11+01:00,1056.00,1243.00,6000,True,MST0008
22,1618278514778,Masata BMW N55 E82 E90 E92 Aluminium Chargepipe (135i & 335i),Masata,Chargepipe & Valves,2019-01-09T01:29:22+00:00,718.00,845.00,6000,True,MST0003
23,5242061029535,Masata BMW B48 F20 F30 Aluminium Chargepipe (inc. 330e & 330i),Masata,Chargepipe & Valves,2020-05-23T08:46:17+01:00,1056.00,1243.00,6000,True,MST0100
24,4575371526234,"Masata BMW N55 F20 F22 F87 Aluminum High Flow Turbo Inlet Pipe (M2, M135i, M235i, 335i & 435i)",Masata,Inlet & Outlet,2020-03-02T13:25:12+00:00,845.00,994.00,4000,True,MST0095
25,1358129004634,"Go Fast Bits T9357 BMW N20 N55 F22 F30 F31 F33 Diverter Valve DV+ (Inc. 220i, 320i, 420i & M2)",Go Fast Bits,Chargepipe & Valves,2018-08-17T16:34:59+01:00,501.00,589.00,1000,True,T9357
26,6535596605599,"ATM BMW M57 E70 E90 ASV Elbow Kit (335d, X5 30d & X5 35d)",ATM,Inlet & Outlet,2021-02-24T06:23:39+00:00,527.00,530.00,5000,True,ATM009
27,6535596605599,"ATM BMW M57 E70 E90 ASV Elbow Kit (335d, X5 30d & X5 35d)",ATM,Inlet & Outlet,2021-02-24T06:23:39+00:00,572.00,579.00,5000,True,ATM010
28,6036347977887,"Genuine BMW 13628644433 N54 N55 N63 S55 S63 3.5 Bar Pressure Sensor (Inc. M2 Competition, M4 & M8)",BMW,Chargepipe & Valves,2020-12-28T18:41:02+00:00,543.00,549.00,1000,True,13628644433
29,8051110471,"Turbosmart BMW N54 Plumb Back Recirculating BOV (135i, 335i & Z4)",Turbosmart,Chargepipe & Valves,2016-06-13T07:40:00+01:00,1497.00,1497.00,2000,True,TS-0203-1250
30,1700951621722,"Masata BMW S55 F80 F82 F83 F87 Chargepipe with Turbo to Intercooler Pipe (M2 Competition, M3 & M4)",Masata,Chargepipe & Valves,2019-01-09T01:29:22+00:00,2112.00,2485.00,5000,True,MST0010
31,1777624809562,"Masata BMW N20 N26 F20 F30 Aluminium Chargepipe (125i, 220i, 320i, 328i & 428i)",Masata,Chargepipe & Valves,2019-04-24T18:57:14+01:00,1056.00,1243.00,6000,True,MST0011
32,5592532418719,"Go Fast Bits T9458 Mercedes-Benz Diverter Valve DV+ BOV Sound (Inc. A180, CLA250, GLA250 & GLC300)",Go Fast Bits,Chargepipe & Valves,2020-09-02T14:44:38+01:00,692.00,814.00,1000,True,T9458
33,4293097750618,Masata BMW N55 F06 F10 F12 Aluminium Chargepipe (535i & 640i),Masata,Chargepipe & Valves,2019-10-21T08:00:16+01:00,845.00,994.00,4000,True,MST0007
34,5358189314207,"Masata BMW N54 E82 E90 E92 Aluminium Chargepipe with HKS BOV Blow Off Valve (1M, 135i & 335i)",Masata,Chargepipe & Valves,2020-07-06T14:06:27+01:00,2172.00,2286.00,4000,True,MST0117
35,1947710259290,"Masata BMW B58 F20 F30 Aluminium Intake Pipe (M140i, M240i, 340i & 440i)",Masata,Chargepipe & Valves,2019-08-16T13:10:15+01:00,930.00,1094.00,6000,True,MST0029
36,4587120230490,"Masata Mercedes-Benz M133 W176 C117 X156 Aluminium Chargepipe (A45 AMG, CLA45 AMG & GLA45 AMG)",Masata,Chargepipe & Valves,2020-03-12T00:52:47+00:00,845.00,994.00,3000,True,MST0056
37,1647638970458,Masata BMW N54 E89 Z4 35i Aluminium Chargepipe,Masata,Chargepipe & Valves,2019-01-09T01:29:22+00:00,803.00,945.00,5000,True,MST0002
38,1341895376986,Genuine BMW 11617791470 Turbo Boost Pipe O Ring E90 E92 335i & 335D,BMW,Chargepipe & Valves,2016-07-19T23:59:00+01:00,60.00,69.00,1000,True,11617791470
39,8050811207,"Turbosmart BMW N54 Dual Port BOV (135i, 335i & Z4)",Turbosmart,Chargepipe & Valves,2016-06-13T07:40:00+01:00,2505.00,2505.00,2000,True,TS-0203-1050
40,6642180522143,Masata BMW N47S E81 E82 E87 E88 123d Aluminium Chargepipe & Turbo to Intercooler Pipe,Masata,Chargepipe & Valves,2021-04-01T15:09:29+01:00,1605.00,1889.00,5000,True,MST0067
41,1351183532122,"Genuine BMW 11617791469 N20/N54/N55 Intercooler Chargepipe O-Ring (Z4, 1M, 135i, 335i & 335D)",BMW,Chargepipe & Valves,2016-07-19T23:59:00+01:00,60.00,69.00,1000,True,11617791469
42,1842071044186,"Masata BMW N20 N26 F20 F30 Turbo to Intercooler Pipe (125i, 220i, 320i, 328i & 428i)",Masata,Chargepipe & Valves,2019-06-07T09:58:52+01:00,845.00,994.00,4000,True,MST0020
43,1618591875162,"BMS BMW N54 E82 E90 E92 Silicone Inlets (1M, 135i, 335i, 535i & Z4)",BMS,Inlet & Outlet,2019-01-09T13:41:26+00:00,1272.00,,12000,False,BMS034
44,1618591875162,"BMS BMW N54 E82 E90 E92 Silicone Inlets (1M, 135i, 335i, 535i & Z4)",BMS,Inlet & Outlet,2019-01-09T13:41:26+00:00,1272.00,,10500,False,BMS035
45,1336563597402,Forge BMW E90 E92 335D Intercooler Boost Hose,Forge,Chargepipe & Valves,2016-06-23T01:20:00+01:00,496.00,567.00,2000,True,FMBH335D
46,10303499978,RB BMW N54 RHD Silicone Outlet (135i & 335i),RB,Inlet & Outlet,2016-07-19T23:59:00+01:00,2356.00,,11000,False,N54-RB-RHD-O-A
47,10303499978,RB BMW N54 RHD Silicone Outlet (135i & 335i),RB,Inlet & Outlet,2016-07-19T23:59:00+01:00,2356.00,,11000,False,N54-RB-RHD-O-SISD
48,5824817463455,"Go Fast Bits T9351 Audi Seat Skoda VW Diverter Valve Upgrade (Inc. 8J TT, MK2 Leon, MK3 Octavia & MK7 Golf GTI)",Go Fast Bits,Chargepipe & Valves,2020-10-30T05:27:05+00:00,589.00,589.00,2000,True,T9351
49,1315913990234,"Genuine BMW 13718596850 E90 F14 F20 F87 Intercooler & Intake Hose O-Ring Seal (Inc. M135i, 335i, M2 & 640i)",BMW,Chargepipe & Valves,2016-07-19T23:59:00+01:00,48.00,41.00,1000,True,13718596850
50,4651728109658,"Genuine BMW 11618506787 B58 Chargepipe O-Ring (M140, M240i, 340i, 440i, 540i & 640i)",BMW,Chargepipe & Valves,2020-04-22T22:20:11+01:00,76.00,76.00,1000,True,11618506787
51,7085173637279,Integrated Engineering IE Audi B9 3.0T Turbo Inlet Pipe (S4 & S5),Integrated Engineering,Inlet & Outlet,2021-09-23T12:30:26+01:00,676.00,751.00,10000,True,IEINCK4
52,11628200788,RB BMW N54 RHD Silicone Outlet Adapter (135i & 335i),RB,Inlet & Outlet,2016-07-19T23:59:00+01:00,184.00,187.00,1000,True,N54-RB-RHD-A-25
53,11628200788,RB BMW N54 RHD Silicone Outlet Adapter (135i & 335i),RB,Inlet & Outlet,2016-07-19T23:59:00+01:00,319.00,336.00,1000,False,N54-RB-RHD-A-OEM
54,5813307015327,"Precision Raceworks BMW N54 E82 E88 E89 E90 Turbo Flange Inlet Adapter Kit (Inc. 135i, 1M, 335i & Z4 35i)",Precision Raceworks,Inlet & Outlet,2020-10-27T10:20:58+00:00,260.00,336.00,3000,True,501-0026
55,5696901677215,"MMR BMW N55 F20 F30 F87 Intake Side Chargepipe Kit (Inc. M135i, M235i, 335i & 435i)",MMR,Engine,2021-05-02T00:03:53+01:00,1581.00,,5000,False,MMR02-0501A
56,5363439173791,"Eventuri BMW S55 F80 F82 F87 Carbon Chargepipes (M2 Competition, M3 & M4)",Eventuri,Chargepipe & Valves,2020-07-07T22:36:44+01:00,4121.00,4121.00,5000,True,EVE-S55-CF-CHG
57,4659868663898,"Masata BMW Toyota B58 Aluminium Chargepipe (inc. A90 Supra, M340i, G01 X3 M40ix & G05 X5 40i)",Masata,Chargepipe & Valves,2020-04-28T14:47:14+01:00,1056.00,1243.00,5000,True,MST0108
58,781604159578,"Forge BMW N55 Blow Off Valve Kit M2, M135i, M235i, 335i & 435i with Electronic Wastegate",Forge,Chargepipe & Valves,2016-06-23T01:20:00+01:00,919.00,789.00,5000,False,FMDVF22A
59,11514402196,"Pure Turbos BMW N55 PURE High Flow Inlet Pipe (M2, M135i, M235i, 335 & 435i)",Pure Turbos,Inlet & Outlet,2017-07-17T16:07:00+01:00,850.00,895.00,4000,False,PT-F-N55-HFIP-1
60,11514402196,"Pure Turbos BMW N55 PURE High Flow Inlet Pipe (M2, M135i, M235i, 335 & 435i)",Pure Turbos,Inlet & Outlet,2017-07-17T16:07:00+01:00,1685.00,1774.00,4000,False,PT-F-N55-HFIP-2
61,11514402196,"Pure Turbos BMW N55 PURE High Flow Inlet Pipe (M2, M135i, M235i, 335 & 435i)",Pure Turbos,Inlet & Outlet,2017-07-17T16:07:00+01:00,1305.00,1404.00,4000,True,PT-F-N55-HFIP-3
62,10656816724,"Evolution Racewerks (ER) BMW N55 Chargepipe (M135i, M235i, M2, 335i & 435i)",Evolution Racewerks (ER),Chargepipe & Valves,2016-06-13T07:40:00+01:00,1844.00,1861.00,6000,True,BM-ICP007BA
63,10656816724,"Evolution Racewerks (ER) BMW N55 Chargepipe (M135i, M235i, M2, 335i & 435i)",Evolution Racewerks (ER),Chargepipe & Valves,2016-06-13T07:40:00+01:00,1844.00,1861.00,6000,True,BM-ICP007BXIA
64,10656816724,"Evolution Racewerks (ER) BMW N55 Chargepipe (M135i, M235i, M2, 335i & 435i)",Evolution Racewerks (ER),Chargepipe & Valves,2016-06-13T07:40:00+01:00,1844.00,1861.00,6000,True,BM-ICP007B
65,10656816724,"Evolution Racewerks (ER) BMW N55 Chargepipe (M135i, M235i, M2, 335i & 435i)",Evolution Racewerks (ER),Chargepipe & Valves,2016-06-13T07:40:00+01:00,1844.00,1861.00,6000,True,BM-ICP007BXI
66,10656816724,"Evolution Racewerks (ER) BMW N55 Chargepipe (M135i, M235i, M2, 335i & 435i)",Evolution Racewerks (ER),Chargepipe & Valves,2016-06-13T07:40:00+01:00,1665.00,1682.00,6000,True,BM-ICP007PA
