,id,title,vendor,prod_type,publish,price (MYR),compare_at_price (MYR),weight (grams),available,sku
0,7742644158685,Shell Helix Ultra Professional AG Engine Oil - 5W-30 - 5Ltr,Shell,Oil & Fluid,2023-03-01T09:06:27+00:00,160.00,142.00,5000,True,521772241
1,7757562544349,Motul RBF 660 Factory Line Fully Synthetic DOT 4 Racing Brake & Clutch Fluid 101666,Motul,Oil & Fluid,2022-07-01T04:46:23+01:00,62.00,269.00,1000,True,MOTUL29
2,7084900941983,MOTUL 500ml RBF 600 Factory Line Dot 4 Brake Oil Fluid,Motul,Oil & Fluid,2021-09-23T09:15:12+01:00,50.00,96.00,1000,True,MOTUL100948
3,7742644715741,Shell Helix Ultra ECT C3 Engine Oil - 5W-30 - 5Ltr,Shell,Oil & Fluid,2023-03-01T09:06:35+00:00,193.00,193.00,5000,True,521774551
4,7742652743901,Mobil 1 FS Engine Oil - 0W-40 - 5ltr,Mobil,Oil & Fluid,2022-06-21T11:56:10+01:00,255.00,260.00,7500,True,521771851
5,5905785684127,Shell Helix HX8 5W-30 ECT C3 Fully Synthetic Engine Oil,Shell,Oil & Fluid,2023-03-01T09:05:51+00:00,150.00,150.00,5000,True,521773721
6,5905785684127,Shell Helix HX8 5W-30 ECT C3 Fully Synthetic Engine Oil,Shell,Oil & Fluid,2023-03-01T09:05:51+00:00,35.00,35.00,1000,True,521774552
7,7742646124765,Shell Helix Ultra Professional AF Engine Oil - 5W-30 - 5Ltr,Shell,Oil & Fluid,2023-03-01T09:07:12+00:00,161.00,161.00,5000,True,521772611
8,7757562183901,Motul 8100 X-Clean+ 5w-30 Fully Synthetic Car Engine Oil 5l 106377,Motul,Oil & Fluid,2022-07-01T04:46:07+01:00,160.00,249.00,5000,True,MOTUL20
9,7742643405021,Shell Advance 4T 10W-40 AX7 Motorcycle 4 Stroke - 4Ltr,Shell,Oil & Fluid,2022-06-21T11:51:27+01:00,104.00,104.00,4000,True,521772541
10,7696367550685,Liqui Moly Pro Line Engine Flush 500ml,Liqui Moly,Oil & Fluid,2022-05-18T08:22:02+01:00,35.00,35.00,500,True,2427
