,id,title,vendor,prod_type,publish,price (MYR),compare_at_price (MYR),weight (grams),available,sku
0,1925473828954,"Masata BMW N20 N55 F-Series Stepped HD Performance Intercooler (M2, M135i, M235i, 335i & 435i)",Masata,Intercooler,2019-08-06T23:50:17+01:00,1690.00,1988.00,15000,True,MST0026
1,1859754852442,Masata BMW N54 N55 E-Series Stepped HD Performance Intercooler (135i & 335i),Masata,Intercooler,2019-06-20T18:21:07+01:00,1690.00,1988.00,11700,True,MST0025
2,1859754852442,Masata BMW N54 N55 E-Series Stepped HD Performance Intercooler (135i & 335i),Masata,Intercooler,2019-06-20T18:21:07+01:00,1983.00,,11700,False,MST0030
3,6109502570655,"BMW S55 F82 F83 Chargecooler Aluminium Cover (M4, M4 Competition & M4 CS)",ML Performance,Chargecooler,2021-01-21T06:44:05+00:00,219.00,221.00,3600,True,MLP114
4,6109502570655,"BMW S55 F82 F83 Chargecooler Aluminium Cover (M4, M4 Competition & M4 CS)",ML Performance,Chargecooler,2021-01-21T06:44:05+00:00,219.00,221.00,3600,True,MLP115
5,6109502570655,"BMW S55 F82 F83 Chargecooler Aluminium Cover (M4, M4 Competition & M4 CS)",ML Performance,Chargecooler,2021-01-21T06:44:05+00:00,239.00,242.00,3600,True,MLP116
6,6109502570655,"BMW S55 F82 F83 Chargecooler Aluminium Cover (M4, M4 Competition & M4 CS)",ML Performance,Chargecooler,2021-01-21T06:44:05+00:00,219.00,221.00,3600,True,MLP118
7,6109502570655,"BMW S55 F82 F83 Chargecooler Aluminium Cover (M4, M4 Competition & M4 CS)",ML Performance,Chargecooler,2021-01-21T06:44:05+00:00,219.00,221.00,1000,True,MLP119
8,6109502570655,"BMW S55 F82 F83 Chargecooler Aluminium Cover (M4, M4 Competition & M4 CS)",ML Performance,Chargecooler,2021-01-21T06:44:05+00:00,487.00,492.00,1000,True,MLP117
9,1479923695706,"CSF BMW N55 Performance Intercooler (M2, M135i, M235i, 328i, 428i, 335i & 435i)",CSF Radiators,Intercooler,2018-10-20T16:49:34+01:00,3003.00,3161.00,16000,True,CSF-8115
