,id,title,vendor,prod_type,publish,price (MYR),compare_at_price (MYR),weight (grams),available,sku
0,1692736290906,"NGK BMW N20 N54 N55, S55, N63 & S63TU 97506 2-Step Colder Iridium Spark Plug",NGK,Spark Plug & Ignition,2016-07-19T23:59:00+01:00,56.00,56.00,100,True,97506
1,5249677557919,NGK BMW MINI N18 N20 N54 N55 1-Step Colder Spark Plug (97968),NGK,Spark Plug & Ignition,2020-05-29T14:06:19+01:00,50.00,76.00,200,True,97968
2,4594464030810,"NGK BMW B58 B48 94201 OEM Replacement Spark Plug 94201 (Inc. M140i, M240i, 340i, & 440i)",NGK,Spark Plug & Ignition,2020-03-18T11:18:42+00:00,52.00,49.00,100,True,94201
3,361297444895,"Genuine BMW 13537564751 N54 N63 Fuel Injector Clip (135i, 335i, 550i & Z4)",BMW,Fuel & Ignition,2016-07-19T23:59:00+01:00,64.00,48.00,100,True,13537564751
4,1356772474970,"Genuine BMW 13537584315 N43 N54 N63 Fuel Injector Seal (135i, 335i, 550i & Z4)",BMW,Fuel & Ignition,2016-07-19T23:59:00+01:00,17.00,14.00,100,True,13537584315
5,4670207459418,"Genuine BMW 13538616079 N54 N63 N74 S63 Index 12 Fuel Injector (135i, 335i, 550i & Z4)",BMW,Fuel & Ignition,2020-05-07T15:14:36+01:00,2503.00,3025.00,1000,True,13538616079
6,1681975574618,"Genuine BMW 13537589048 N43 N53 Index 11 Fuel Injector (120i, 330i, 530i & 630i)",BMW,Fuel & Ignition,2016-07-19T23:59:00+01:00,2029.00,3025.00,500,True,13537589048
7,336222257183,"Genuine BMW 13538648937 N54 N63 Index 12 Fuel Injector (135i, 335i, 550i & Z4)",BMW,Fuel & Ignition,2016-07-19T23:59:00+01:00,726.00,,500,False,13538648937
8,4594593988698,"Genuine BMW 12122455258 B58 TU High Power Stage 1/2 Spark Plug (Inc. M240i, M340i & X5 40i)",BMW,Fuel & Ignition,2020-03-18T13:30:10+00:00,126.00,126.00,41,True,12122455258
9,5822496997535,Precision Raceworks BMP Fuel Pump Fitting For Walbro Pump,Precision Raceworks,Fuel & Ignition,2020-10-29T15:13:28+00:00,202.00,202.00,100,True,601-0042
10,7810230714589,NGK Ignition Coil - U5055 (NGK48206) Plug Top Coil,NGK,Spark Plug & Ignition,2022-08-12T09:06:00+01:00,105.00,105.00,500,True,48206
11,7807431573725,NGK Ignition Coil - U5014 (NGK48041) Plug Top Coil,NGK,Spark Plug & Ignition,2022-08-10T03:21:00+01:00,120.00,120.00,500,True,48041
12,8078119043293,Masata Universal Spark Plug Gapping Tool Kit (with Feeler Gauge),Masata,Spark Plug & Ignition,2023-08-25T06:10:57+01:00,118.00,125.00,1000,True,MST9007
13,6973876437151,"NGK Audi Bentley B9 D5 FY Iridium Spark Plug 93560 (Inc. A8, RS4, SQ5 & Bentayga)",NGK,Fuel & Ignition,2021-07-26T14:44:40+01:00,90.00,90.00,500,True,93560
14,6956837240991,"NGK Mercedes-Benz Laser Iridium Spark Plug 95875 (Inc. W176 A45, C117 CLA45 & X156 GLA45 AMG)",NGK,Spark Plug & Ignition,2021-07-19T06:26:20+01:00,47.00,47.00,500,True,95875
15,7807469519069,NGK PLFER7A8EG (94833) - Double Platinum Spark Plug / Sparkplug - Dual Platinum Electrodes,NGK,Spark Plug & Ignition,2022-08-10T03:43:40+01:00,57.00,57.00,500,True,94833
16,6828928958623,NGK Audi VW R7438-9 Racing Spark Plug 4656,NGK,Spark Plug & Ignition,2021-12-09T04:16:39+00:00,210.00,210.00,500,True,R7438-9
17,4680559329370,"Dorch Engineering BMW N55 Stage 1/2 High Pressure Fuel Pump HPFP (M2, 135i, M135i, M235i, 335i & 435i)",Dorch Engineering,Fuel & Ignition,2020-05-11T21:26:53+01:00,5977.00,,3000,False,DE-55-1001-A
18,4680559329370,"Dorch Engineering BMW N55 Stage 1/2 High Pressure Fuel Pump HPFP (M2, 135i, M135i, M235i, 335i & 435i)",Dorch Engineering,Fuel & Ignition,2020-05-11T21:26:53+01:00,8696.00,,3000,False,DE-55-2001-A
19,4680559329370,"Dorch Engineering BMW N55 Stage 1/2 High Pressure Fuel Pump HPFP (M2, 135i, M135i, M235i, 335i & 435i)",Dorch Engineering,Fuel & Ignition,2020-05-11T21:26:53+01:00,5977.00,,3000,False,DE-55-1001-B
20,4680559329370,"Dorch Engineering BMW N55 Stage 1/2 High Pressure Fuel Pump HPFP (M2, 135i, M135i, M235i, 335i & 435i)",Dorch Engineering,Fuel & Ignition,2020-05-11T21:26:53+01:00,8696.00,,3000,False,DE-55-2001-B
21,4680542945370,"Dorch Engineering BMW B58 F20 F22 F30 F32 Stage 1/2 High Pressure Fuel Pump HPFP (M140i(x), M240i(x), 340i(x) & 440i(x))",Dorch Engineering,Fuel & Ignition,2020-05-11T21:10:17+01:00,5893.00,,5000,False,DE-58-1001
22,4680542945370,"Dorch Engineering BMW B58 F20 F22 F30 F32 Stage 1/2 High Pressure Fuel Pump HPFP (M140i(x), M240i(x), 340i(x) & 440i(x))",Dorch Engineering,Fuel & Ignition,2020-05-11T21:10:17+01:00,9240.00,,5000,False,DE-58-2001
23,1656784945242,"Precision Raceworks Audi VW EA888 Gen 3 4 Bar Map Sensor Kit (Inc. Golf R, A3, TT & TTS)",Precision Raceworks,,2018-07-04T14:59:58+01:00,1275.00,1275.00,1000,True,601-0001
24,1656784945242,"Precision Raceworks Audi VW EA888 Gen 3 4 Bar Map Sensor Kit (Inc. Golf R, A3, TT & TTS)",Precision Raceworks,,2018-07-04T14:59:58+01:00,1275.00,1275.00,1000,True,601-0066
25,6754645180575,Genuine BMW 12137841754 E90 E92 E93 S65 M3 Ignition Coil,BMW,Fuel & Ignition,2021-05-05T07:57:27+01:00,740.00,787.00,2000,True,12137841754
26,7810240741597,NGK Spark Plug SITR7A11G (94949) Fits: Aston Martin,NGK,Spark Plug & Ignition,2022-08-12T09:11:18+01:00,59.00,59.00,500,True,94949
27,4658508136538,"Precision Raceworks BMW N54 N55 Injector Tool (Inc. 1M, 335i, 550i & 650i)",Precision Raceworks,Fuel & Ignition,2020-04-27T13:34:00+01:00,537.00,537.00,3000,True,601-0005
28,4614825541722,"Precision Raceworks BMW N54 N55 E82 E90 E92 Bucketed Performance (LPFP) Lower Pressure Fuel Pumps (Inc. 1M, 135i, 335i & X1 35ix)",Precision Raceworks,Fuel & Ignition,2020-03-31T16:58:45+01:00,2482.00,2482.00,5000,True,601-0011
29,4614825541722,"Precision Raceworks BMW N54 N55 E82 E90 E92 Bucketed Performance (LPFP) Lower Pressure Fuel Pumps (Inc. 1M, 135i, 335i & X1 35ix)",Precision Raceworks,Fuel & Ignition,2020-03-31T16:58:45+01:00,3489.00,3489.00,5000,True,601-0096
30,4614825541722,"Precision Raceworks BMW N54 N55 E82 E90 E92 Bucketed Performance (LPFP) Lower Pressure Fuel Pumps (Inc. 1M, 135i, 335i & X1 35ix)",Precision Raceworks,Fuel & Ignition,2020-03-31T16:58:45+01:00,2986.00,2986.00,5000,True,601-0075
31,4614825541722,"Precision Raceworks BMW N54 N55 E82 E90 E92 Bucketed Performance (LPFP) Lower Pressure Fuel Pumps (Inc. 1M, 135i, 335i & X1 35ix)",Precision Raceworks,Fuel & Ignition,2020-03-31T16:58:45+01:00,3992.00,3992.00,5000,True,601-0116
