,id,title,vendor,prod_type,publish,price (MYR),compare_at_price (MYR),weight (grams),available,sku
0,7865667256541,MHD Universal WiFi OBDII Flash Adapter,MHD,Tuning Box Accessories,2022-09-23T05:02:43+01:00,388.00,388.00,100,True,MHD03
1,8035286286557,Bootmod3 BMW MINI Wireless OBDII Wifi Enet CANbus Flash Adapter,Bootmod3,ECU Remap,2023-03-21T08:44:42+00:00,567.00,574.00,1000,True,BM3-WIFI-2
2,8035286286557,Bootmod3 BMW MINI Wireless OBDII Wifi Enet CANbus Flash Adapter,Bootmod3,ECU Remap,2023-03-21T08:44:42+00:00,464.00,,1000,False,BM3-WIFI-3
3,4676529061978,Integrated Engineering IE POWERlink V4 Flash Tune Cable | With Mobile Flashing,Integrated Engineering,,2020-05-09T21:04:09+01:00,785.00,872.00,1000,True,IESOVU7
4,8080304636125,xHP BMW OBDII Flashtool WiFi Adapter,xHP,Tuning Box Accessories,2023-07-11T12:03:29+01:00,299.00,246.00,2000,True,xHP-Flashtool
5,1478713245786,"Bootmod3 Remap/Tune License For BMW S55 F80 F82 F87 - FREE ENET CABLE (M2 COMPETITION, M3 & M4)",Bootmod3,ECU Remap,2018-03-09T11:29:25+00:00,2802.00,,100,True,BM3-S55
6,1752182227034,"Bootmod3 Remap/Tune License For BMW B58 F20 F30 F32 G01 G02 G30 - FREE ENET CABLE (M140i, M240i, 340i, 440i, 540i, 640i, 740i, 840I & X3 M40i)",Bootmod3,ECU Remap,2019-04-06T23:00:13+01:00,2802.00,,1000,True,BM3-B58
7,1491448430682,"Bootmod3 Remap/Tuning License For BMW N55 F Chassis - FREE ENET CABLE (M2, M135i, M235i, 335i, 435i, 535i, 640i, X3, X4, X5 & X6)",Bootmod3,ECU Remap,2018-03-09T11:29:25+00:00,2922.00,,1000,True,BM3-N55
8,4663852105818,ML Performance BMW F & G Series BM3 OBDII to ENET Cable,ML Performance,Tuning Box Accessories,2020-04-30T20:59:06+01:00,145.00,148.00,1000,True,MLP0100
9,10468129876,"BMS BMW B38 B46 B48 B58 JB+ - 3 Wire Version (Inc. M140i, M240i, 340i, 440i & 540i)",BMS,Tuning Box,2016-07-19T23:59:00+01:00,1060.00,,1000,False,F-B48B58-JBP
10,8735646279,BMS BMW N54 N55 3.5 Bar TMAP Adapter (135i & 335i),BMS,Tuning Box Accessories,2016-07-19T23:59:00+01:00,194.00,,1000,False,E-N54-JB4UG-TMAP-35
11,4340437090394,MHD BMW XHP Bimmercode Wireless OBDII Wifi Flash Adapter,MHD,Tuning Box Accessories,2019-11-13T11:42:09+00:00,313.00,,1000,False,MHD01
12,4340437090394,MHD BMW XHP Bimmercode Wireless OBDII Wifi Flash Adapter,MHD,Tuning Box Accessories,2019-11-13T11:42:09+00:00,313.00,,1000,False,MHD02
13,7993316743,"BMS BMW N54 JB4 Tuning Box (1M, 135i, 335i & Z4)",BMS,Tuning Box,2016-07-19T23:59:00+01:00,2263.00,,2000,False,E-N54-JB4
14,9210005898,"BMS BMW B58 B38 B46 B48 JB4 Tuning Box (M140i, 220i, M240i, 330e, 320i, 340i & 440i)",BMS,Tuning Box,2016-07-19T23:59:00+01:00,2499.00,,2000,False,F-B46B48B58-JB4
15,10303531466,"BMS Audi Porsche VW 1.8 & 2.0 TSI Group 1-6 JB4 Tuning Box (Inc. MK7 GOLF R, 8V S3, Macan & Seat Leon)",BMS,Tuning Box,2016-07-19T23:59:00+01:00,1832.00,1832.00,1000,True,VAG-JB4
16,9191376458,"BMS BMW N20 N55 JB+ (M135i, 220i, 228i, M235i, 320i, 328i, 335i, 420i, 428i, 435i, 535i & 640i)",BMS,Tuning Box,2016-07-19T23:59:00+01:00,1129.00,,1000,False,F-N55-JBP
17,1907455459418,"Bootmod3 Remap/Tune License For BMW B48 B46 - FREE ENET CABLE (120i, 125i, 220i, 225i, 320i, 330i, 420i, 430i, 520i, 530i, X3/X4, 20i, 30i)",Bootmod3,ECU Remap,2019-07-25T12:37:18+01:00,2802.00,,1000,True,BM3-B48
18,8326370631,BMS BMW N54 JB4 G5 2STEP/No Lift Shifting Relay (135i & 335i),BMS,Tuning Box Accessories,2016-07-19T23:59:00+01:00,213.00,,1000,False,E-N54-JB4UG-2SR-MT
19,10302909130,"BMS BMW N55 B58 JB4 EWG Add On Connector (M135i, M140i, M240i & 335i)",BMS,Tuning Box Accessories,2016-07-19T23:59:00+01:00,248.00,,1000,False,F-N55-F30-JB4-EW-AOC
20,8564675527,"BMS BMW N55 JB4 Tuning Box for Electronic Wastegate (M135i, M235i, M2, 335i & 435i)",BMS,Tuning Box,2016-07-19T23:59:00+01:00,2499.00,,2000,False,F-N55-F30-JB4-EW
21,1478937935962,Bootmod3 BMW OBD AGENT WIFI ADAPTER,Bootmod3,ECU Remap,2018-03-09T11:29:25+00:00,882.00,,1000,False,BM3-WIFI
22,1651982434394,"Bootmod3 Remap/Tuning License For BMW N20 N26 F Chassis - FREE ENET CABLE (125i, 220i, 228i, 320i, 328i, 420i, 428i, 520i, 528i)",Bootmod3,ECU Remap,2018-03-09T11:29:25+00:00,2802.00,,1000,True,BM3-003
23,8326827399,BMS BMW N54 JB4 Anti-Lag Kit (135i & 335i),BMS,Tuning Box Accessories,2016-07-19T23:59:00+01:00,220.00,,1000,False,E-N54-JB4UG-AL
24,7877357633757,"Bootmod3 OTS Maps Bundle For BMW B58 F20 F30 G01 G30 (Inc. M140i, 340i, 540i & X3 M40i)",Bootmod3,ECU Remap,2022-10-03T09:13:49+01:00,343.00,346.00,1000,True,BM3-B58-OTS
25,8078119043293,Masata Universal Spark Plug Gapping Tool Kit (with Feeler Gauge),Masata,Spark Plug & Ignition,2023-08-25T06:10:57+01:00,118.00,125.00,1000,True,MST9007
26,11074056596,BMS Audi BMW Mini Volkswagen JB4 OBDII Cable,BMS,Tuning Box Accessories,2016-07-19T23:59:00+01:00,189.00,199.00,1000,False,F-OBDII
27,11074056596,BMS Audi BMW Mini Volkswagen JB4 OBDII Cable,BMS,Tuning Box Accessories,2016-07-19T23:59:00+01:00,85.00,244.00,1000,False,BMS075
28,11074056596,BMS Audi BMW Mini Volkswagen JB4 OBDII Cable,BMS,Tuning Box Accessories,2016-07-19T23:59:00+01:00,238.00,261.00,1000,False,BMS137
29,1801632809050,"Bootmod3 Remap/Tuning License For BMW S63TU F10 F12 F85 F86 - FREE ENET CABLE (M5, M6, X5M & X6M)",Bootmod3,ECU Remap,2019-05-10T21:20:43+01:00,4174.00,,1000,True,BM3-S63TU
30,1569371357274,"BMS BMW Mini B38 B46 B48 JB+ - 4 Wire Version (Inc. M135ix, 228i, M235ix, X1, X2, One, Cooper, Clubman & Countryman)",BMS,Tuning Box,2016-07-19T23:59:00+01:00,1129.00,,1000,False,MINI-B48-JBP
31,7877350719709,"Bootmod3 OTS Maps Bundle For BMW N55 F Chassis (Inc. M135i, M2, 535i & 640i)",Bootmod3,ECU Remap,2022-10-03T08:54:45+01:00,343.00,346.00,1000,True,BM3-N55-OTS
32,5403293483167,Sprint Booster BMW E/F/G Chassis Pedal Tuner 2002+,Sprint Booster,Tuning Box,2020-07-17T13:14:25+01:00,1109.00,1193.00,2000,True,RSBD401
33,5403293483167,Sprint Booster BMW E/F/G Chassis Pedal Tuner 2002+,Sprint Booster,Tuning Box,2020-07-17T13:14:25+01:00,1109.00,1193.00,2000,True,RSBD402
34,1779394773082,"Bootmod3 Remap/Tuning License For BMW N13 F Chassis - FREE ENET CABLE (114i, 116i, 118i, 316i & 320i)",Bootmod3,ECU Remap,2019-04-25T14:32:16+01:00,2326.00,,1000,True,BM3-N13
35,9598283530,"BMS BMW S55 JB4 Tuning Box F80 F82 F83 (M2 Competition, M3 & M4)",BMS,Tuning Box,2016-11-29T00:22:00+00:00,2357.00,2976.00,2000,False,F-S55-JB4
36,7166721786015,Bootmod3 Remap/Tune License For MINI B46 B48 F54 F55 F56 F57 F60 Cooper S JCW - FREE ENET CABLE,Bootmod3,ECU Remap,2021-10-31T13:19:35+00:00,2802.00,,1000,True,BM3-B48-MINI
37,4676312957018,"Integrated Engineering IE Audi B8 B8.5 C7 3.0T Supercharged Performance ECU Remote Tune (S4, S5, A6, A7, Q5 & SQ5)",Integrated Engineering,ECU Remap,2020-05-09T20:35:05+01:00,3920.00,4355.00,2400,True,IESOVJ11
38,4676312957018,"Integrated Engineering IE Audi B8 B8.5 C7 3.0T Supercharged Performance ECU Remote Tune (S4, S5, A6, A7, Q5 & SQ5)",Integrated Engineering,ECU Remap,2020-05-09T20:35:05+01:00,4356.00,4840.00,2400,True,IESOVJ12
39,4676312957018,"Integrated Engineering IE Audi B8 B8.5 C7 3.0T Supercharged Performance ECU Remote Tune (S4, S5, A6, A7, Q5 & SQ5)",Integrated Engineering,ECU Remap,2020-05-09T20:35:05+01:00,4792.00,5324.00,2400,True,IESOVJ13
40,11495047956,"BMS BMW N55 B48 B58 JB4 Fuel Pressure Connector (M135i, M140i, 335i & 440i)",BMS,Tuning Box Accessories,2016-07-19T23:59:00+01:00,130.00,130.00,1000,True,F-N55-F30-JB4-EW-FPC
41,11495047956,"BMS BMW N55 B48 B58 JB4 Fuel Pressure Connector (M135i, M140i, 335i & 440i)",BMS,Tuning Box Accessories,2016-07-19T23:59:00+01:00,224.00,261.00,1000,False,F-B48-F30-JB4-EW-FPC
42,11495047956,"BMS BMW N55 B48 B58 JB4 Fuel Pressure Connector (M135i, M140i, 335i & 440i)",BMS,Tuning Box Accessories,2016-07-19T23:59:00+01:00,130.00,129.00,1000,True,F-B58-F30-JB4-EW-FPC
43,7967975702749,"Masata BMW N55 F20 F30 F36 F87 Panel Air Dry Filter (M135i, M2, M235i, 335i & 435i)",Masata,Intake System,2023-01-19T04:33:53+00:00,194.00,199.00,1000,True,MST2002
44,7967967314141,"Masata BMW S55 F10 F12 F80 F82 Panel Air Dry Filters (Inc. M3, M4, M5 & M6)",Masata,Intake System,2023-01-19T04:34:10+00:00,388.00,398.00,1000,True,MST2001
45,7877354553565,"Bootmod3 OTS Maps Bundle For BMW S55 F80 F82 F87 (M2 Competition, M3 & M4)",Bootmod3,ECU Remap,2022-10-03T08:59:05+01:00,686.00,691.00,100,True,BM3-S55-OTS
46,10303397642,"BMS BMW N20 N26 N55 S55 Type B JB1 Stage 1 Tuner (M2 Competition, M135i, M235i, 335i, 435i, M3 & M4)",BMS,Tuning Box,2016-07-19T23:59:00+01:00,1885.00,,2000,False,F-S55-JB1
47,8326661703,BMS BMW N54 JB4 Speed Limit Defeat Wires (135i & 335i),BMS,Tuning Box Accessories,2016-07-19T23:59:00+01:00,70.00,69.00,1000,True,E-N54-JB4UG-SLD
48,7105636466847,"Integrated Engineering IE Audi B9 3.0T ECU Tune with TCU Stage 1 (S4, S5 & SQ5)",Integrated Engineering,ECU Remap,2021-09-30T10:37:55+01:00,3920.00,4355.00,100,True,IESOVZ11
49,7105636466847,"Integrated Engineering IE Audi B9 3.0T ECU Tune with TCU Stage 1 (S4, S5 & SQ5)",Integrated Engineering,ECU Remap,2021-09-30T10:37:55+01:00,4356.00,4840.00,100,True,IESOVZ12
50,7105636466847,"Integrated Engineering IE Audi B9 3.0T ECU Tune with TCU Stage 1 (S4, S5 & SQ5)",Integrated Engineering,ECU Remap,2021-09-30T10:37:55+01:00,4792.00,5324.00,100,True,IESOVZ13
51,7105636466847,"Integrated Engineering IE Audi B9 3.0T ECU Tune with TCU Stage 1 (S4, S5 & SQ5)",Integrated Engineering,ECU Remap,2021-09-30T10:37:55+01:00,5663.00,6293.00,100,True,IESOVZ14
52,4676543905882,Integrated Engineering IE Audi Volkswagen 2.0T TSI Gen3 IS38 MQB Performance ECU Remote Tune (MK7/MK7.5 Golf R & 8V/8V.5 S3),Integrated Engineering,ECU Remap,2020-05-09T21:15:38+01:00,2454.00,2727.00,100,True,IESOVN21
53,4676543905882,Integrated Engineering IE Audi Volkswagen 2.0T TSI Gen3 IS38 MQB Performance ECU Remote Tune (MK7/MK7.5 Golf R & 8V/8V.5 S3),Integrated Engineering,ECU Remap,2020-05-09T21:15:38+01:00,2830.00,3144.00,100,True,IESOVN22
54,8217809479,"BMS BMW N55 E82 E84 E90 E92 JB4 (Inc. 135i, 335i & X1)",BMS,Tuning Box,2016-07-19T23:59:00+01:00,2263.00,,2000,False,E-N55-JB4-A
55,8217809479,"BMS BMW N55 E82 E84 E90 E92 JB4 (Inc. 135i, 335i & X1)",BMS,Tuning Box,2016-07-19T23:59:00+01:00,2263.00,,1000,False,E-N55-JB4-B
56,1725437870170,"MLP BMW N54 N55 JB4/MHD Custom Remote Tuning/Remap (1M, Z4, 135i & 335i)",ML Performance,ECU Remap,2016-07-19T23:59:00+01:00,2594.00,2620.00,1000,True,MLP901
57,1725437870170,"MLP BMW N54 N55 JB4/MHD Custom Remote Tuning/Remap (1M, Z4, 135i & 335i)",ML Performance,ECU Remap,2016-07-19T23:59:00+01:00,2594.00,2620.00,1000,True,MLP902
58,1725437870170,"MLP BMW N54 N55 JB4/MHD Custom Remote Tuning/Remap (1M, Z4, 135i & 335i)",ML Performance,ECU Remap,2016-07-19T23:59:00+01:00,2594.00,2620.00,1000,True,MLP903
59,1725437870170,"MLP BMW N54 N55 JB4/MHD Custom Remote Tuning/Remap (1M, Z4, 135i & 335i)",ML Performance,ECU Remap,2016-07-19T23:59:00+01:00,2594.00,2620.00,1000,True,MLP904
60,1725437870170,"MLP BMW N54 N55 JB4/MHD Custom Remote Tuning/Remap (1M, Z4, 135i & 335i)",ML Performance,ECU Remap,2016-07-19T23:59:00+01:00,2827.00,2858.00,1000,True,MLP905
61,1725437870170,"MLP BMW N54 N55 JB4/MHD Custom Remote Tuning/Remap (1M, Z4, 135i & 335i)",ML Performance,ECU Remap,2016-07-19T23:59:00+01:00,2827.00,2858.00,1000,True,MLP906
62,1725437870170,"MLP BMW N54 N55 JB4/MHD Custom Remote Tuning/Remap (1M, Z4, 135i & 335i)",ML Performance,ECU Remap,2016-07-19T23:59:00+01:00,2827.00,2858.00,100,True,MLP907
63,1725437870170,"MLP BMW N54 N55 JB4/MHD Custom Remote Tuning/Remap (1M, Z4, 135i & 335i)",ML Performance,ECU Remap,2016-07-19T23:59:00+01:00,2827.00,2858.00,1000,True,MLP908
64,4584506228826,"Bootmod3 Remap/Tune License For BMW S58 F97 F98 G80 G82 - FREE ENET CABLE (M3, M4, X3M & X4M)",Bootmod3,ECU Remap,2020-03-10T15:42:42+00:00,2802.00,,100,True,BM3-S58
65,5991200260255,"Sprint Booster Porsche Pedal V3 Tuner (inc. 911 Carrera, Boxter, Cayman, Macan & Panamera)",Sprint Booster,Tuning Box,2020-12-12T09:39:43+00:00,930.00,930.00,2000,True,RSBD165
66,1337724600410,Bluespark BMW B58 Pro Petrol Tuning Module F20 F21 M140i,Bluespark,Tuning Box,2016-07-19T23:59:00+01:00,826.00,870.00,1000,True,pt-8468
67,1337724600410,Bluespark BMW B58 Pro Petrol Tuning Module F20 F21 M140i,Bluespark,Tuning Box,2016-07-19T23:59:00+01:00,1062.00,1118.00,1000,True,pt-8468-BT
68,311758520351,BMS BMW N55 JB4 Tuning Box for Pneumatic Wastegate (M135i & 335i),BMS,Tuning Box,2016-07-19T23:59:00+01:00,2645.00,,2000,False,F-N55-F30-JB4-PW
69,11393645012,BMS BMW N54 JB3->JB4 Power Wire,BMS,Tuning Box Accessories,2017-07-17T16:07:00+01:00,95.00,,1000,False,N54-JB4-JB3PW
70,5256065613983,"Bootmod3 Remap/Tuning License For BMW S63TU4 F90 F91 F95 - FREE ENET CABLE (M5, M8, X5M, & X6M)",Bootmod3,ECU Remap,2025-01-22T06:34:23+00:00,4174.00,,1000,True,BM3-S63TU4
71,9228526922,"BMS BMW N54 JB+ (1M, 135i, 335i & Z4)",BMS,Tuning Box,2016-07-19T23:59:00+01:00,771.00,1039.00,1000,False,E-N54-JBP
72,5991277592735,"Sprint Booster Porsche Pedal V3 Tuner (inc, 911 Carrera (996), 911 Turbo 996t & Boxter (986))",Sprint Booster,Tuning Box,2020-12-12T09:45:02+00:00,1109.00,1193.00,2000,True,RSBD166
73,4677177606234,Integrated Engineering IE Audi Volkswagen 2.0T FSI K04 Performance ECU Remote Tune (MK6 Golf R & 8J TTS),Integrated Engineering,ECU Remap,2020-05-10T14:39:43+01:00,1958.00,2175.00,100,True,IESOVC21
