,Unnamed: 0,id,title,vendor,prod_type,publish,price (MYR),compare_at_price (MYR),weight (grams),available,sku,rating,review_count,questions,review
0,0,7790333624541,Bosch Aerotwin Flat Wiper Blade Single AP18U Front,Bosch,Wiper Blade,2022-07-26T06:50:18+01:00,49.0,49.0,5000,True,485777187,5,473,0,
1,1,7790335197405,Bosch Aerotwin Flat Wiper Blade Single AP22U Front,Bosch,Wiper Blade,2022-07-26T06:50:50+01:00,56.0,56.0,5000,True,485777227,5,454,0,
2,2,7790329200861,Bosch Super Plus Specific Wiper Blade Rear H306,Bosch,Wiper Blade,2022-07-26T06:48:52+01:00,27.0,27.0,5000,True,485777400,5,440,0,
3,3,7790342930653,Bosch Aerotwin Flat Wiper Blade Single AP26U Front,Bosch,Wiper Blade,2022-07-26T06:53:38+01:00,61.0,61.0,5000,True,485777267,5,441,0,
4,4,7790338244829,Bosch Aerotwin Flat Wiper Blade Set A298S Front,Bosch,Wiper Blade,2022-07-26T06:51:53+01:00,107.0,107.0,5000,True,485774100,5,18,0,
5,5,7790335787229,Bosch Aerotwin Flat Wiper Blade Set A453S Front,Bosch,Wiper Blade,2022-07-26T06:51:04+01:00,98.0,98.0,5000,True,485771190,0,0,0,
6,6,7790336606429,Bosch Retrofit Flat Wiper Blade Single Ar22U Front,Bosch,Wiper Blade,2022-07-26T06:51:23+01:00,46.0,46.0,5000,True,485778220,5,476,0,
7,7,7790322352349,Bosch Retrofit Flat Wiper Blade Single Ar24U Front,Bosch,Wiper Blade,2022-07-26T06:46:31+01:00,50.0,50.0,5000,True,485778240,5,393,0,
8,8,7790326972637,Bosch Retrofit Flat Wiper Blade Single Ar26U Front,Bosch,Wiper Blade,2022-07-26T06:48:03+01:00,52.0,52.0,5000,True,485778260,5,473,0,
9,9,7790339915997,Bosch Aerotwin Flat Wiper Blade Rear A282H,Bosch,Wiper Blade,2022-07-26T06:52:31+01:00,27.0,27.0,5000,True,485775310,5,413,0,
10,10,7790326415581,Bosch Retrofit Flat Wiper Blade Single Ar18U Front,Bosch,Wiper Blade,2022-07-26T06:47:51+01:00,41.0,41.0,5000,True,485778180,,,,
11,11,7792046440669,Valeo 575008 First Multi-Connect Wiper Blade FM60 24 Inch Front,Valeo,Wiper Blade,2022-07-27T04:41:13+01:00,40.0,43.0,5000,False,485777241,0,0,0,
12,12,7790329528541,Bosch Aerotwin Flat Wiper Blade Single AP28U Front,Bosch,Wiper Blade,2022-07-26T06:48:59+01:00,61.0,61.0,5000,True,485777287,5,455,0,
13,13,7790332575965,Bosch Aerotwin Flat Wiper Blade Rear A331H,Bosch,Wiper Blade,2022-07-26T06:49:56+01:00,31.0,31.0,5000,True,485774920,5,427,0,
14,14,7790341980381,Bosch Aerotwin Flat Wiper Blade Single AP24U Front,Bosch,Wiper Blade,2022-07-26T06:53:15+01:00,59.0,59.0,5000,True,485777247,5,426,0,
